model,experiment,year,nbp_global_mean
CABLE-POP,S3,1700,7.27323555269991e-11
CABLE-POP,S3,1701,-2.574157364221438e-10
CABLE-POP,S3,1702,1.40887255869042e-10
CABLE-POP,S3,1703,2.058140779818647e-10
CABLE-POP,S3,1704,-3.5941671385456907e-10
CABLE-POP,S3,1705,-1.9979576874119802e-10
CABLE-POP,S3,1706,-1.1857976041664882e-11
CABLE-POP,S3,1707,-1.206949713044516e-10
CABLE-POP,S3,1708,-7.845915796914359e-11
CABLE-POP,S3,1709,1.5538582611788143e-11
CABLE-POP,S3,1710,3.450749737027963e-11
CABLE-POP,S3,1711,-2.6315485899715353e-10
CABLE-POP,S3,1712,2.8359967337551657e-10
CABLE-POP,S3,1713,-1.293189152349976e-10
CABLE-POP,S3,1714,7.5955009519306e-11
CABLE-POP,S3,1715,-3.111875501232919e-10
CABLE-POP,S3,1716,2.13007734600619e-11
CABLE-POP,S3,1717,3.290458824815348e-10
CABLE-POP,S3,1718,-2.1100183271564137e-10
CABLE-POP,S3,1719,-8.315579760322455e-11
CABLE-POP,S3,1720,3.0107019080122285e-10
CABLE-POP,S3,1721,-1.725302562280577e-10
CABLE-POP,S3,1722,2.1255876953360728e-10
CABLE-POP,S3,1723,2.5075860464505304e-10
CABLE-POP,S3,1724,-3.3670062499173143e-10
CABLE-POP,S3,1725,-1.658493549422264e-10
CABLE-POP,S3,1726,2.3388034875344272e-11
CABLE-POP,S3,1727,-9.333420421919047e-11
CABLE-POP,S3,1728,-5.7506237229340177e-11
CABLE-POP,S3,1729,4.045373801976961e-11
CABLE-POP,S3,1730,5.737119198422695e-11
CABLE-POP,S3,1731,-2.4766484350989945e-10
CABLE-POP,S3,1732,3.0668173001089813e-10
CABLE-POP,S3,1733,-1.1387086984113094e-10
CABLE-POP,S3,1734,8.673250663399087e-11
CABLE-POP,S3,1735,-2.935353432968453e-10
CABLE-POP,S3,1736,4.046027326673524e-11
CABLE-POP,S3,1737,3.3418634045575516e-10
CABLE-POP,S3,1738,-2.1211854352223906e-10
CABLE-POP,S3,1739,-8.040671967895083e-11
CABLE-POP,S3,1740,2.9197482459334055e-10
CABLE-POP,S3,1741,-1.9033939104596806e-10
CABLE-POP,S3,1742,1.923627525756421e-10
CABLE-POP,S3,1743,2.3809861629572706e-10
CABLE-POP,S3,1744,-3.636634119319806e-10
CABLE-POP,S3,1745,-1.9249374378746723e-10
CABLE-POP,S3,1746,-5.594348484731119e-12
CABLE-POP,S3,1747,-1.2661026613445562e-10
CABLE-POP,S3,1748,-8.776339931208998e-11
CABLE-POP,S3,1749,8.821466155860817e-12
CABLE-POP,S3,1750,2.8106037164495195e-11
CABLE-POP,S3,1751,-2.852033096387646e-10
CABLE-POP,S3,1752,2.69866441931361e-10
CABLE-POP,S3,1753,-1.4744374345892183e-10
CABLE-POP,S3,1754,5.917179061063265e-11
CABLE-POP,S3,1755,-3.255678513825105e-10
CABLE-POP,S3,1756,1.040627357290429e-11
CABLE-POP,S3,1757,3.144814491941714e-10
CABLE-POP,S3,1758,-2.370565595019895e-10
CABLE-POP,S3,1759,-9.87142569867867e-11
CABLE-POP,S3,1760,2.69126615398549e-10
CABLE-POP,S3,1761,-2.0238003803663796e-10
CABLE-POP,S3,1762,1.8614750556352876e-10
CABLE-POP,S3,1763,2.36996391169655e-10
CABLE-POP,S3,1764,-3.678499535752542e-10
