model,experiment,year,nbp_global_mean
CARDAMOM,S2,2003,2.0627668517865845e-10
CARDAMOM,S2,2004,6.065709101564915e-10
CARDAMOM,S2,2005,4.144653477483678e-10
CARDAMOM,S2,2006,6.163772414803616e-10
CARDAMOM,S2,2007,3.83611839012798e-10
CARDAMOM,S2,2008,8.651165031930948e-10
CARDAMOM,S2,2009,6.961609795742122e-10
CARDAMOM,S2,2010,5.694464966946347e-10
CARDAMOM,S2,2011,6.365897905988739e-10
CARDAMOM,S2,2012,9.44300394557212e-10
CARDAMOM,S2,2013,8.98519412634933e-10
CARDAMOM,S2,2014,9.322248086095014e-10
CARDAMOM,S2,2015,6.150203552721154e-10
CARDAMOM,S2,2016,1.0796157307707227e-09
CARDAMOM,S2,2017,1.0158552992555761e-09
CARDAMOM,S2,2018,1.09210367015299e-09
CARDAMOM,S2,2019,8.5579911594729e-10
CARDAMOM,S2,2020,1.2133323156770815e-09
CARDAMOM,S2,2021,1.1898529849779775e-09
CARDAMOM,S2,2022,1.359792146308948e-09
CARDAMOM,S2,2023,1.1566922367918883e-09
CARDAMOM,S2,2024,1.4982675106831977e-09
CARDAMOM,S2,2025,-9.504863139240913e-10
