model,experiment,year,nbp_global_mean
CLASSIC,S3,1700,-5.036247151774805e-11
CLASSIC,S3,1701,-3.541406961436373e-10
CLASSIC,S3,1702,5.58317628899189e-10
CLASSIC,S3,1703,1.108677803876182e-10
CLASSIC,S3,1704,-1.246676878235022e-10
CLASSIC,S3,1705,1.8227062782833258e-10
CLASSIC,S3,1706,-8.963550305867882e-11
CLASSIC,S3,1707,-7.753418064904958e-11
CLASSIC,S3,1708,4.13258131438015e-10
CLASSIC,S3,1709,3.7732899205605655e-10
CLASSIC,S3,1710,-4.3908774209820576e-10
CLASSIC,S3,1711,-3.313308634927666e-10
CLASSIC,S3,1712,-1.2454132116427215e-10
CLASSIC,S3,1713,-2.1673608149348248e-10
CLASSIC,S3,1714,1.0015854225791336e-11
CLASSIC,S3,1715,2.7176926935571403e-11
CLASSIC,S3,1716,2.377683586545681e-10
CLASSIC,S3,1717,-1.6319774992888816e-10
CLASSIC,S3,1718,-1.6354332343348645e-10
CLASSIC,S3,1719,-7.357111805202805e-11
CLASSIC,S3,1720,1.032716246926505e-11
CLASSIC,S3,1721,-4.0709068014936397e-10
CLASSIC,S3,1722,5.541113335891681e-10
CLASSIC,S3,1723,1.4891374217267587e-10
CLASSIC,S3,1724,-1.319339542276467e-10
CLASSIC,S3,1725,2.0100066036609677e-10
CLASSIC,S3,1726,-6.895962342507881e-12
CLASSIC,S3,1727,-5.731810364554578e-11
CLASSIC,S3,1728,3.8619177044259773e-10
CLASSIC,S3,1729,3.3877491546146916e-10
CLASSIC,S3,1730,-4.1652174171227273e-10
CLASSIC,S3,1731,-3.686265707475016e-10
CLASSIC,S3,1732,-1.1292081500739786e-10
CLASSIC,S3,1733,-2.401682988549997e-10
CLASSIC,S3,1734,-1.0981779607591702e-10
CLASSIC,S3,1735,2.1245822492520345e-11
CLASSIC,S3,1736,2.346512143348601e-10
CLASSIC,S3,1737,-2.2316289017379593e-10
CLASSIC,S3,1738,-1.4786859849376978e-10
CLASSIC,S3,1739,-1.243983899059782e-10
CLASSIC,S3,1740,-5.957238186649952e-11
CLASSIC,S3,1741,-3.5223976124021167e-10
CLASSIC,S3,1742,4.959116206880717e-10
CLASSIC,S3,1743,1.1413398525732423e-10
CLASSIC,S3,1744,-2.0510941105260104e-10
CLASSIC,S3,1745,2.0463188932402975e-10
CLASSIC,S3,1746,2.6679019019490018e-12
CLASSIC,S3,1747,-1.3230939271750824e-10
CLASSIC,S3,1748,3.739542487317452e-10
CLASSIC,S3,1749,3.586928531796614e-10
