model,experiment,year,nbp_global_mean
CLM-FATES,S0,1701,7.11949e-11
CLM-FATES,S0,1702,4.9930407e-12
CLM-FATES,S0,1703,-1.2995928e-11
CLM-FATES,S0,1704,1.076515e-10
CLM-FATES,S0,1705,-7.6570895e-11
CLM-FATES,S0,1706,-1.4725521e-11
CLM-FATES,S0,1707,3.445136e-11
CLM-FATES,S0,1708,1.3668002e-11
CLM-FATES,S0,1709,3.8020285e-11
CLM-FATES,S0,1710,-4.2009188e-11
CLM-FATES,S0,1711,1.210484e-10
CLM-FATES,S0,1712,-1.6052852e-10
CLM-FATES,S0,1713,4.8505735e-12
CLM-FATES,S0,1714,4.594616e-11
CLM-FATES,S0,1715,-1.08953735e-10
CLM-FATES,S0,1716,-1.363168e-10
CLM-FATES,S0,1717,2.1946195e-11
CLM-FATES,S0,1718,1.6552759e-10
CLM-FATES,S0,1719,-8.593009e-11
CLM-FATES,S0,1720,7.22135e-11
CLM-FATES,S0,1721,8.60626e-11
CLM-FATES,S0,1722,-4.4813597e-12
CLM-FATES,S0,1723,7.4511e-12
CLM-FATES,S0,1724,1.1052927e-10
CLM-FATES,S0,1725,-8.77003e-11
CLM-FATES,S0,1726,-3.0432555e-12
CLM-FATES,S0,1727,7.060368e-11
CLM-FATES,S0,1728,2.1263213e-11
CLM-FATES,S0,1729,4.6639023e-11
CLM-FATES,S0,1730,-3.039848e-11
CLM-FATES,S0,1731,1.09950805e-10
CLM-FATES,S0,1732,-1.4806646e-10
CLM-FATES,S0,1733,1.4510453e-11
CLM-FATES,S0,1734,4.0819816e-11
CLM-FATES,S0,1735,-1.2821387e-10
CLM-FATES,S0,1736,-1.4186091e-10
CLM-FATES,S0,1737,2.1300059e-11
CLM-FATES,S0,1738,1.6976592e-10
CLM-FATES,S0,1739,-9.0299566e-11
CLM-FATES,S0,1740,9.5866474e-11
CLM-FATES,S0,1741,8.376355e-11
CLM-FATES,S0,1742,-6.109599e-12
CLM-FATES,S0,1743,4.4551723e-12
CLM-FATES,S0,1744,1.0770986e-10
CLM-FATES,S0,1745,-9.693698e-11
CLM-FATES,S0,1746,-2.3347976e-11
CLM-FATES,S0,1747,4.610931e-11
CLM-FATES,S0,1748,1.0889636e-11
CLM-FATES,S0,1749,3.9020485e-11
CLM-FATES,S0,1750,-4.0956016e-11
CLM-FATES,S0,1751,1.0555614e-10
CLM-FATES,S0,1752,-1.5203878e-10
CLM-FATES,S0,1753,7.9635925e-12
CLM-FATES,S0,1754,4.7392364e-11
CLM-FATES,S0,1755,-1.4226359e-10
CLM-FATES,S0,1756,-1.3748502e-10
CLM-FATES,S0,1757,2.3138186e-11
CLM-FATES,S0,1758,1.7601981e-10
CLM-FATES,S0,1759,-7.463089e-11
CLM-FATES,S0,1760,7.251858e-11
CLM-FATES,S0,1761,8.058806e-11
CLM-FATES,S0,1762,5.761433e-12
CLM-FATES,S0,1763,2.084124e-11
CLM-FATES,S0,1764,1.08375975e-10
CLM-FATES,S0,1765,-9.1650985e-11
CLM-FATES,S0,1766,-2.8938166e-11
CLM-FATES,S0,1767,3.0324163e-11
CLM-FATES,S0,1768,3.7811607e-12
CLM-FATES,S0,1769,2.9105093e-11
CLM-FATES,S0,1770,-6.6054155e-11
CLM-FATES,S0,1771,-3.5385954e-12
CLM-FATES,S0,1772,-3.0112876e-10
CLM-FATES,S0,1773,-1.0429063e-10
