model,experiment,year,nbp_global_mean
CLM6.0,S0,1700,-2.4222633e-11
CLM6.0,S0,1701,-1.8009807e-11
CLM6.0,S0,1702,-1.2570685e-10
CLM6.0,S0,1703,5.561136e-11
CLM6.0,S0,1704,9.88768e-11
CLM6.0,S0,1705,-1.3738959e-10
CLM6.0,S0,1706,1.0283996e-10
CLM6.0,S0,1707,-1.8108617e-11
CLM6.0,S0,1708,2.352705e-11
CLM6.0,S0,1709,-1.1372107e-12
CLM6.0,S0,1710,1.1852837e-10
CLM6.0,S0,1711,-1.02362306e-10
CLM6.0,S0,1712,-2.6945732e-11
CLM6.0,S0,1713,-7.868326e-11
CLM6.0,S0,1714,-3.017983e-11
CLM6.0,S0,1715,-6.145398e-11
CLM6.0,S0,1716,9.6570625e-12
CLM6.0,S0,1717,9.025077e-11
CLM6.0,S0,1718,-2.4590765e-11
CLM6.0,S0,1719,-1.4240452e-10
CLM6.0,S0,1720,4.4779735e-12
CLM6.0,S0,1721,-7.430889e-12
CLM6.0,S0,1722,-9.65859e-11
CLM6.0,S0,1723,7.097584e-11
CLM6.0,S0,1724,1.0591983e-10
CLM6.0,S0,1725,-1.3853409e-10
CLM6.0,S0,1726,1.0441378e-10
CLM6.0,S0,1727,-1.5640387e-11
CLM6.0,S0,1728,2.7068006e-11
CLM6.0,S0,1729,-3.9578527e-13
CLM6.0,S0,1730,1.2204253e-10
CLM6.0,S0,1731,-1.0082565e-10
CLM6.0,S0,1732,-2.685574e-11
CLM6.0,S0,1733,-7.775583e-11
CLM6.0,S0,1734,-2.884414e-11
CLM6.0,S0,1735,-6.012702e-11
CLM6.0,S0,1736,1.2551256e-11
CLM6.0,S0,1737,9.222867e-11
CLM6.0,S0,1738,-2.3891666e-11
CLM6.0,S0,1739,-1.3957983e-10
CLM6.0,S0,1740,7.723618e-12
CLM6.0,S0,1741,-6.8333303e-12
CLM6.0,S0,1742,-9.5085495e-11
CLM6.0,S0,1743,7.2025254e-11
CLM6.0,S0,1744,1.0568856e-10
CLM6.0,S0,1745,-1.3893456e-10
CLM6.0,S0,1746,1.06483544e-10
CLM6.0,S0,1747,-1.4846152e-11
CLM6.0,S0,1748,2.9493148e-11
CLM6.0,S0,1749,1.3117748e-12
CLM6.0,S0,1750,1.2271076e-10
CLM6.0,S0,1751,-9.957719e-11
CLM6.0,S0,1752,-2.5075017e-11
CLM6.0,S0,1753,-7.505163e-11
CLM6.0,S0,1754,-2.7722094e-11
CLM6.0,S0,1755,-6.086537e-11
CLM6.0,S0,1756,1.2543365e-11
CLM6.0,S0,1757,9.2234775e-11
CLM6.0,S0,1758,-2.2695226e-11
CLM6.0,S0,1759,-1.3696679e-10
CLM6.0,S0,1760,7.725219e-12
CLM6.0,S0,1761,-7.346947e-12
CLM6.0,S0,1762,-9.4828e-11
CLM6.0,S0,1763,7.33868e-11
CLM6.0,S0,1764,1.0879055e-10
CLM6.0,S0,1765,-1.37526e-10
CLM6.0,S0,1766,1.0690792e-10
CLM6.0,S0,1767,-1.5492996e-11
CLM6.0,S0,1768,3.0081142e-11
CLM6.0,S0,1769,1.0384471e-12
CLM6.0,S0,1770,1.2341057e-10
CLM6.0,S0,1771,-9.986381e-11
CLM6.0,S0,1772,-2.3708924e-11
CLM6.0,S0,1773,-7.4334316e-11
CLM6.0,S0,1774,-2.7715117e-11
CLM6.0,S0,1775,-5.947994e-11
CLM6.0,S0,1776,1.3658204e-11
CLM6.0,S0,1777,9.3439284e-11
CLM6.0,S0,1778,-2.1790958e-11
CLM6.0,S0,1779,-1.386621e-10
CLM6.0,S0,1780,8.624869e-12
CLM6.0,S0,1781,-6.4679095e-12
CLM6.0,S0,1782,-9.508813e-11
CLM6.0,S0,1783,7.395274e-11
CLM6.0,S0,1784,1.0863476e-10
CLM6.0,S0,1785,-1.3748949e-10
CLM6.0,S0,1786,1.0667923e-10
CLM6.0,S0,1787,-1.5195697e-11
CLM6.0,S0,1788,3.1967207e-11
CLM6.0,S0,1789,2.8537266e-12
CLM6.0,S0,1790,1.2485223e-10
CLM6.0,S0,1791,-1.0010324e-10
CLM6.0,S0,1792,-2.6124991e-11
CLM6.0,S0,1793,-7.4829844e-11
CLM6.0,S0,1794,-2.5172512e-11
CLM6.0,S0,1795,-6.026665e-11
CLM6.0,S0,1796,1.3718905e-11
CLM6.0,S0,1797,9.4052065e-11
CLM6.0,S0,1798,-2.1438129e-11
CLM6.0,S0,1799,-1.3777689e-10
CLM6.0,S0,1800,9.005602e-12
CLM6.0,S0,1801,-6.0970764e-12
CLM6.0,S0,1802,-9.359153e-11
CLM6.0,S0,1803,7.446353e-11
CLM6.0,S0,1804,1.0719303e-10
CLM6.0,S0,1805,-1.3680328e-10
CLM6.0,S0,1806,1.070623e-10
CLM6.0,S0,1807,-1.4005945e-11
CLM6.0,S0,1808,3.0993357e-11
CLM6.0,S0,1809,2.9000413e-12
CLM6.0,S0,1810,1.2374499e-10
CLM6.0,S0,1811,-9.869499e-11
CLM6.0,S0,1812,-2.3291471e-11
CLM6.0,S0,1813,-7.462506e-11
CLM6.0,S0,1814,-2.6267571e-11
CLM6.0,S0,1815,-5.894627e-11
CLM6.0,S0,1816,1.509943e-11
CLM6.0,S0,1817,9.403317e-11
CLM6.0,S0,1818,-1.9864999e-11
CLM6.0,S0,1819,-1.3865438e-10
CLM6.0,S0,1820,8.642457e-12
CLM6.0,S0,1821,-5.0581206e-12
CLM6.0,S0,1822,-9.3675484e-11
CLM6.0,S0,1823,7.50695e-11
CLM6.0,S0,1824,1.0868287e-10
CLM6.0,S0,1825,-1.384187e-10
CLM6.0,S0,1826,1.0703696e-10
CLM6.0,S0,1827,-1.391524e-11
CLM6.0,S0,1828,3.2383828e-11
CLM6.0,S0,1829,1.5107545e-12
CLM6.0,S0,1830,1.2428301e-10
CLM6.0,S0,1831,-9.737252e-11
CLM6.0,S0,1832,-2.4511532e-11
CLM6.0,S0,1833,-7.357697e-11
CLM6.0,S0,1834,-2.5689747e-11
CLM6.0,S0,1835,-5.8597134e-11
CLM6.0,S0,1836,1.3783807e-11
CLM6.0,S0,1837,9.3904745e-11
CLM6.0,S0,1838,-2.2203211e-11
CLM6.0,S0,1839,-1.368724e-10
CLM6.0,S0,1840,9.11235e-12
CLM6.0,S0,1841,-6.9184194e-12
CLM6.0,S0,1842,-9.460326e-11
CLM6.0,S0,1843,7.540395e-11
CLM6.0,S0,1844,1.0904334e-10
CLM6.0,S0,1845,-1.3522233e-10
CLM6.0,S0,1846,1.0725876e-10
CLM6.0,S0,1847,-1.469246e-11
CLM6.0,S0,1848,3.1449666e-11
CLM6.0,S0,1849,2.9997949e-12
CLM6.0,S0,1850,1.2444182e-10
CLM6.0,S0,1851,-9.828102e-11
CLM6.0,S0,1852,-2.3423633e-11
CLM6.0,S0,1853,-7.499304e-11
CLM6.0,S0,1854,-2.5285154e-11
CLM6.0,S0,1855,-5.84097e-11
CLM6.0,S0,1856,1.4739146e-11
CLM6.0,S0,1857,9.4071584e-11
CLM6.0,S0,1858,-2.0904445e-11
CLM6.0,S0,1859,-1.3735633e-10
CLM6.0,S0,1860,9.855848e-12
CLM6.0,S0,1861,-5.0796403e-12
CLM6.0,S0,1862,-9.3056944e-11
CLM6.0,S0,1863,7.537259e-11
CLM6.0,S0,1864,1.0792212e-10
CLM6.0,S0,1865,-1.3784603e-10
CLM6.0,S0,1866,1.07968544e-10
CLM6.0,S0,1867,-1.23576245e-11
CLM6.0,S0,1868,3.252315e-11
CLM6.0,S0,1869,1.1873927e-12
CLM6.0,S0,1870,1.2431145e-10
CLM6.0,S0,1871,-9.6878665e-11
CLM6.0,S0,1872,-2.523746e-11
CLM6.0,S0,1873,-7.405601e-11
CLM6.0,S0,1874,-2.519616e-11
CLM6.0,S0,1875,-5.8438525e-11
CLM6.0,S0,1876,1.3706231e-11
CLM6.0,S0,1877,9.456886e-11
CLM6.0,S0,1878,-2.1753294e-11
CLM6.0,S0,1879,-1.3641412e-10
CLM6.0,S0,1880,8.831075e-12
CLM6.0,S0,1881,-5.765518e-12
CLM6.0,S0,1882,-9.384286e-11
CLM6.0,S0,1883,7.554981e-11
CLM6.0,S0,1884,1.0893941e-10
CLM6.0,S0,1885,-1.3532374e-10
CLM6.0,S0,1886,1.06933025e-10
CLM6.0,S0,1887,-1.3052485e-11
CLM6.0,S0,1888,3.316637e-11
CLM6.0,S0,1889,5.842456e-13
CLM6.0,S0,1890,1.24332e-10
CLM6.0,S0,1891,-9.772847e-11
CLM6.0,S0,1892,-2.2851812e-11
CLM6.0,S0,1893,-7.467845e-11
CLM6.0,S0,1894,-2.5886293e-11
CLM6.0,S0,1895,-5.7564026e-11
CLM6.0,S0,1896,1.5416732e-11
CLM6.0,S0,1897,9.354247e-11
CLM6.0,S0,1898,-2.1209062e-11
CLM6.0,S0,1899,-1.374081e-10
CLM6.0,S0,1900,9.45181e-12
CLM6.0,S0,1901,-4.711583e-12
CLM6.0,S0,1902,-9.3074264e-11
CLM6.0,S0,1903,7.5568586e-11
CLM6.0,S0,1904,1.0781163e-10
CLM6.0,S0,1905,-1.3747725e-10
CLM6.0,S0,1906,1.0651158e-10
CLM6.0,S0,1907,-1.2839739e-11
CLM6.0,S0,1908,3.3519677e-11
CLM6.0,S0,1909,2.0759876e-12
CLM6.0,S0,1910,1.2487604e-10
CLM6.0,S0,1911,-9.767725e-11
CLM6.0,S0,1912,-2.3762464e-11
CLM6.0,S0,1913,-7.437581e-11
CLM6.0,S0,1914,-2.5400284e-11
CLM6.0,S0,1915,-5.900022e-11
CLM6.0,S0,1916,1.4523743e-11
CLM6.0,S0,1917,9.6481774e-11
CLM6.0,S0,1918,-1.980908e-11
CLM6.0,S0,1919,-1.3736395e-10
CLM6.0,S0,1920,9.622599e-12
CLM6.0,S0,1921,-5.609698e-12
CLM6.0,S0,1922,-9.428686e-11
CLM6.0,S0,1923,7.612589e-11
CLM6.0,S0,1924,1.09799086e-10
CLM6.0,S0,1925,-1.360055e-10
CLM6.0,S0,1926,1.067415e-10
CLM6.0,S0,1927,-1.2274025e-11
CLM6.0,S0,1928,3.2284685e-11
CLM6.0,S0,1929,-3.429664e-14
CLM6.0,S0,1930,1.2463773e-10
CLM6.0,S0,1931,-9.588372e-11
CLM6.0,S0,1932,-2.298666e-11
CLM6.0,S0,1933,-7.3890255e-11
CLM6.0,S0,1934,-2.4848873e-11
CLM6.0,S0,1935,-5.848456e-11
CLM6.0,S0,1936,1.41250345e-11
CLM6.0,S0,1937,9.4935615e-11
CLM6.0,S0,1938,-1.9597463e-11
CLM6.0,S0,1939,-1.3701569e-10
CLM6.0,S0,1940,9.204341e-12
CLM6.0,S0,1941,-5.976497e-12
CLM6.0,S0,1942,-9.303714e-11
CLM6.0,S0,1943,7.58664e-11
CLM6.0,S0,1944,1.07960196e-10
CLM6.0,S0,1945,-1.3583322e-10
CLM6.0,S0,1946,1.07540095e-10
CLM6.0,S0,1947,-1.4317658e-11
CLM6.0,S0,1948,3.2517433e-11
CLM6.0,S0,1949,2.3816875e-12
CLM6.0,S0,1950,1.2529339e-10
CLM6.0,S0,1951,-9.620738e-11
CLM6.0,S0,1952,-2.2544947e-11
CLM6.0,S0,1953,-7.526269e-11
CLM6.0,S0,1954,-2.4119104e-11
CLM6.0,S0,1955,-6.012118e-11
CLM6.0,S0,1956,1.3636582e-11
CLM6.0,S0,1957,9.460449e-11
CLM6.0,S0,1958,-2.035977e-11
CLM6.0,S0,1959,-1.3692071e-10
CLM6.0,S0,1960,1.0283478e-11
CLM6.0,S0,1961,-4.2851556e-12
