model,experiment,year,nbp_global_mean
DLEM,S1,1700,-1.1278557614021258e-10
DLEM,S1,1701,-1.963916367419745e-10
DLEM,S1,1702,1.8669961802702716e-10
DLEM,S1,1703,2.274679157503852e-10
DLEM,S1,1704,-2.6033734834145757e-10
DLEM,S1,1705,1.6606563579430752e-10
DLEM,S1,1706,1.3100540651916545e-10
DLEM,S1,1707,4.59721195895715e-11
DLEM,S1,1708,1.9387670608649905e-11
DLEM,S1,1709,1.0496411869159827e-10
DLEM,S1,1710,-5.545451186249323e-11
DLEM,S1,1711,-1.3861292477013888e-11
DLEM,S1,1712,-1.290433989534108e-11
DLEM,S1,1713,1.282429567804154e-11
DLEM,S1,1714,-7.730696564933209e-11
DLEM,S1,1715,2.739729067170351e-10
DLEM,S1,1716,3.062453805052843e-10
DLEM,S1,1717,-1.7838676662382096e-11
DLEM,S1,1718,-2.0170697077014994e-10
DLEM,S1,1719,1.4005849778475399e-10
DLEM,S1,1720,-1.4737501503856643e-10
DLEM,S1,1721,-2.2146310390432952e-10
DLEM,S1,1722,1.679393822211264e-10
DLEM,S1,1723,2.2760024294104933e-10
DLEM,S1,1724,-2.6218843910543434e-10
DLEM,S1,1725,1.6409084076247383e-10
DLEM,S1,1726,1.3319971552155835e-10
DLEM,S1,1727,5.0312872030765706e-11
DLEM,S1,1728,2.3695881612899834e-11
DLEM,S1,1729,1.1135102267568596e-10
DLEM,S1,1730,-4.973694124303418e-11
DLEM,S1,1731,-5.5733752012609576e-12
DLEM,S1,1732,-1.262213064815371e-11
DLEM,S1,1733,9.86196823655384e-12
DLEM,S1,1734,-7.414137162705481e-11
DLEM,S1,1735,2.702852798961365e-10
DLEM,S1,1736,3.004185453499984e-10
DLEM,S1,1737,-2.2612045569846043e-11
DLEM,S1,1738,-2.1661775932259008e-10
DLEM,S1,1739,1.2322251984386966e-10
DLEM,S1,1740,-1.6374353401545968e-10
DLEM,S1,1741,-2.399024291038283e-10
DLEM,S1,1742,1.482707262451671e-10
DLEM,S1,1743,2.0631561051446615e-10
DLEM,S1,1744,-2.842515809130743e-10
DLEM,S1,1745,1.4005579202333027e-10
DLEM,S1,1746,1.0808039481001847e-10
DLEM,S1,1747,2.1694782816817082e-11
DLEM,S1,1748,1.371940474604297e-13
DLEM,S1,1749,8.62922672178287e-11
DLEM,S1,1750,-7.745245318753468e-11
DLEM,S1,1751,-3.019342328534538e-11
DLEM,S1,1752,-3.249153997462299e-11
DLEM,S1,1753,-8.82948865228954e-12
DLEM,S1,1754,-9.312191386435645e-11
DLEM,S1,1755,2.5484186122395013e-10
DLEM,S1,1756,2.868845281243289e-10
DLEM,S1,1757,-3.377500959433984e-11
DLEM,S1,1758,-2.216691964609724e-10
DLEM,S1,1759,1.219247214130189e-10
DLEM,S1,1760,-1.655584064243259e-10
DLEM,S1,1761,-2.392369058956315e-10
DLEM,S1,1762,1.5151078252010868e-10
DLEM,S1,1763,2.116246644801612e-10
DLEM,S1,1764,-2.74608454803092e-10
DLEM,S1,1765,1.5251296361238911e-10
DLEM,S1,1766,1.222998099366292e-10
DLEM,S1,1767,3.936907661845724e-11
DLEM,S1,1768,2.1292319514476988e-11
DLEM,S1,1769,1.0877540661098898e-10
DLEM,S1,1770,-5.257579037976487e-11
DLEM,S1,1771,-2.8696627415082354e-12
DLEM,S1,1772,-4.196138577139221e-12
DLEM,S1,1773,2.3762955666537104e-11
DLEM,S1,1774,-6.123050142951073e-11
DLEM,S1,1775,2.902903556451332e-10
DLEM,S1,1776,3.237211485223079e-10
DLEM,S1,1777,4.1219729602224145e-12
DLEM,S1,1778,-1.8204867882702265e-10
DLEM,S1,1779,1.6352383530455993e-10
DLEM,S1,1780,-1.246372366540194e-10
DLEM,S1,1781,-1.9562451564100252e-10
DLEM,S1,1782,1.9683513807797135e-10
DLEM,S1,1783,2.59756421211437e-10
DLEM,S1,1784,-2.2609222675994024e-10
DLEM,S1,1785,2.0440910912300627e-10
DLEM,S1,1786,1.7427926522249972e-10
DLEM,S1,1787,9.236288667244186e-11
DLEM,S1,1788,7.422133841110237e-11
DLEM,S1,1789,1.6216107156753742e-10
DLEM,S1,1790,2.1569376304738808e-12
DLEM,S1,1791,5.048505550513e-11
DLEM,S1,1792,4.9544483637702816e-11
DLEM,S1,1793,8.123462054191111e-11
DLEM,S1,1794,-6.732423211143091e-12
DLEM,S1,1795,3.464346413476033e-10
DLEM,S1,1796,3.779558208721256e-10
DLEM,S1,1797,5.250996940389128e-11
DLEM,S1,1798,-1.342871111080263e-10
DLEM,S1,1799,2.107247169135314e-10
DLEM,S1,1800,-7.960428182227354e-11
DLEM,S1,1801,-1.5674940892592113e-10
DLEM,S1,1802,2.3448864268808504e-10
DLEM,S1,1803,2.9136328063747294e-10
DLEM,S1,1804,-1.9954541067065607e-10
DLEM,S1,1805,2.3199605832415074e-10
DLEM,S1,1806,1.9441324588897585e-10
DLEM,S1,1807,1.0631617116033824e-10
DLEM,S1,1808,8.113241663626658e-11
DLEM,S1,1809,1.6667233438537928e-10
DLEM,S1,1810,2.2781964501312387e-12
DLEM,S1,1811,4.474604341538551e-11
DLEM,S1,1812,3.8918526965023006e-11
DLEM,S1,1813,6.617459534795632e-11
DLEM,S1,1814,-2.503067677293685e-11
DLEM,S1,1815,3.216405824499709e-10
DLEM,S1,1816,3.5183064918926913e-10
DLEM,S1,1817,2.048435686130524e-11
DLEM,S1,1818,-1.6952875136384128e-10
DLEM,S1,1819,1.7271604089293616e-10
DLEM,S1,1820,-1.209949901690516e-10
DLEM,S1,1821,-1.9802401846315702e-10
DLEM,S1,1822,1.9297296048330037e-10
DLEM,S1,1823,2.5039024627877853e-10
DLEM,S1,1824,-2.403993549153826e-10
DLEM,S1,1825,1.9111399595665385e-10
DLEM,S1,1826,1.5668399841265946e-10
DLEM,S1,1827,7.165974318256723e-11
DLEM,S1,1828,4.906506589098754e-11
DLEM,S1,1829,1.3689850575228364e-10
DLEM,S1,1830,-2.390794476029162e-11
DLEM,S1,1831,2.088163343737336e-11
DLEM,S1,1832,2.0435168726005068e-11
DLEM,S1,1833,5.175691751963161e-11
DLEM,S1,1834,-3.553291592207981e-11
DLEM,S1,1835,3.1721354566476645e-10
DLEM,S1,1836,3.5277346861725807e-10
DLEM,S1,1837,2.687238690954092e-11
DLEM,S1,1838,-1.576895389477937e-10
DLEM,S1,1839,1.9258201471552096e-10
DLEM,S1,1840,-9.757167850371085e-11
DLEM,S1,1841,-1.6906066762104008e-10
DLEM,S1,1842,2.2850268028837642e-10
DLEM,S1,1843,2.8945230983671855e-10
DLEM,S1,1844,-2.0016273805904638e-10
DLEM,S1,1845,2.3340082094116897e-10
DLEM,S1,1846,1.974200394600237e-10
DLEM,S1,1847,1.0788928695902893e-10
DLEM,S1,1848,8.310129306111851e-11
DLEM,S1,1849,1.6668955024198647e-10
DLEM,S1,1850,1.0538337188106302e-12
DLEM,S1,1851,4.2815704464964797e-11
DLEM,S1,1852,3.628983847088226e-11
DLEM,S1,1853,6.480442417630321e-11
DLEM,S1,1854,-2.7906547161965387e-11
DLEM,S1,1855,3.2151797108046797e-10
DLEM,S1,1856,3.531605083333502e-10
DLEM,S1,1857,2.0667253009118218e-11
DLEM,S1,1858,-1.6670232413574825e-10
DLEM,S1,1859,1.816542804178359e-10
DLEM,S1,1860,-1.1308714674942588e-10
DLEM,S1,1861,-1.8944801119256085e-10
DLEM,S1,1862,2.096177387105912e-10
DLEM,S1,1863,2.706619161987585e-10
DLEM,S1,1864,-2.1793588919228532e-10
DLEM,S1,1865,2.2029496968182879e-10
DLEM,S1,1866,1.887841302278534e-10
DLEM,S1,1867,1.0381703959702632e-10
DLEM,S1,1868,8.624745457035414e-11
DLEM,S1,1869,1.7679007341901222e-10
DLEM,S1,1870,1.810892492897615e-11
DLEM,S1,1871,6.41964847275775e-11
DLEM,S1,1872,6.297247897761461e-11
DLEM,S1,1873,9.884728632882744e-11
DLEM,S1,1874,9.208711838274837e-12
DLEM,S1,1875,3.6379733173538235e-10
DLEM,S1,1876,3.975643336002277e-10
DLEM,S1,1877,6.520524204942124e-11
DLEM,S1,1878,-1.1868465386737227e-10
DLEM,S1,1879,2.318685651191467e-10
DLEM,S1,1880,-6.123402927847794e-11
DLEM,S1,1881,-1.3788271820897645e-10
DLEM,S1,1882,2.6618350330616283e-10
DLEM,S1,1883,3.2952025511869226e-10
DLEM,S1,1884,-1.5768172339786287e-10
DLEM,S1,1885,2.8724587050141706e-10
DLEM,S1,1886,2.537424191464403e-10
DLEM,S1,1887,1.6951630418174684e-10
DLEM,S1,1888,1.5237868339399586e-10
DLEM,S1,1889,2.4429669408904986e-10
DLEM,S1,1890,8.536464048171864e-11
DLEM,S1,1891,1.2920532852695e-10
DLEM,S1,1892,1.2920219687450132e-10
