model,experiment,year,nbp_global_mean
E3SM,S1,1700,4.891634847230039e-11
E3SM,S1,1701,1.3790466952503724e-11
E3SM,S1,1702,-1.6582507605131463e-10
E3SM,S1,1703,3.070609301518631e-11
E3SM,S1,1704,1.2140843470317508e-10
E3SM,S1,1705,-9.277072712184008e-11
E3SM,S1,1706,-4.0542800941151396e-11
E3SM,S1,1707,2.0318081112544024e-11
E3SM,S1,1708,-8.597375438360136e-12
E3SM,S1,1709,1.0909095018524762e-11
E3SM,S1,1710,1.1016241366724821e-10
E3SM,S1,1711,-5.0775955608398484e-11
E3SM,S1,1712,-7.429731122399472e-11
E3SM,S1,1713,1.1042993795032765e-11
E3SM,S1,1714,1.463602062934393e-11
E3SM,S1,1715,-7.696639771132955e-12
E3SM,S1,1716,-8.99613413923772e-11
E3SM,S1,1717,1.117588526613605e-10
E3SM,S1,1718,1.0764872195350386e-10
E3SM,S1,1719,9.02179950846542e-13
E3SM,S1,1720,4.961421084760018e-11
E3SM,S1,1721,1.6002780648592033e-11
E3SM,S1,1722,-1.6499126511119162e-10
E3SM,S1,1723,3.33062411322332e-11
E3SM,S1,1724,1.2300082811832061e-10
E3SM,S1,1725,-9.295002172065795e-11
E3SM,S1,1726,-3.973212725697917e-11
E3SM,S1,1727,2.2512415601565588e-11
E3SM,S1,1728,-7.248727909506603e-12
E3SM,S1,1729,1.0541394830066521e-11
E3SM,S1,1730,1.1025464816786177e-10
E3SM,S1,1731,-4.91429222124427e-11
E3SM,S1,1732,-7.1622182747603e-11
E3SM,S1,1733,1.2456656333521386e-11
E3SM,S1,1734,1.3522436001244137e-11
E3SM,S1,1735,-8.626870516174297e-12
E3SM,S1,1736,-8.96265400075713e-11
E3SM,S1,1737,1.1170066645860825e-10
E3SM,S1,1738,1.0627593463180766e-10
E3SM,S1,1739,4.647412725336939e-13
E3SM,S1,1740,4.903569358121294e-11
E3SM,S1,1741,1.474084151956056e-11
E3SM,S1,1742,-1.6658457053349628e-10
E3SM,S1,1743,3.0647608611177467e-11
E3SM,S1,1744,1.203645600847115e-10
E3SM,S1,1745,-9.468535881024207e-11
E3SM,S1,1746,-4.177143351636927e-11
E3SM,S1,1747,2.0947230584412043e-11
E3SM,S1,1748,-1.039690605551381e-11
E3SM,S1,1749,8.747472195641873e-12
E3SM,S1,1750,1.0902330640052537e-10
E3SM,S1,1751,-5.234349317252833e-11
E3SM,S1,1752,-7.484752024829302e-11
E3SM,S1,1753,1.0556014908194294e-11
E3SM,S1,1754,1.2099589306993122e-11
E3SM,S1,1755,-1.0215068581303585e-11
E3SM,S1,1756,-9.074964584330675e-11
E3SM,S1,1757,1.1100579602816884e-10
E3SM,S1,1758,1.056211658903373e-10
E3SM,S1,1759,-8.946647002402398e-13
E3SM,S1,1760,4.709739029901703e-11
E3SM,S1,1761,1.6006868780055958e-11
E3SM,S1,1762,-1.6543533773098593e-10
E3SM,S1,1763,2.933787849356661e-11
E3SM,S1,1764,1.2303898630570255e-10
E3SM,S1,1765,-9.252423452991786e-11
E3SM,S1,1766,-4.0108680946468114e-11
E3SM,S1,1767,2.1601638558477205e-11
E3SM,S1,1768,-8.432690855076294e-12
E3SM,S1,1769,9.31485720196614e-12
E3SM,S1,1770,1.1154175742090811e-10
E3SM,S1,1771,-4.8971947069257015e-11
E3SM,S1,1772,-7.32150482499028e-11
E3SM,S1,1773,1.1813111288261175e-11
E3SM,S1,1774,1.6861153426264268e-11
E3SM,S1,1775,-5.8501405404647044e-12
E3SM,S1,1776,-8.65408489981923e-11
E3SM,S1,1777,1.1227531067708615e-10
E3SM,S1,1778,1.090485850268198e-10
E3SM,S1,1779,4.0165965399276625e-12
E3SM,S1,1780,5.0522747116179307e-11
E3SM,S1,1781,1.8538584383790406e-11
E3SM,S1,1782,-1.6178859324690752e-10
E3SM,S1,1783,3.5377328713968344e-11
E3SM,S1,1784,1.2418648681018742e-10
E3SM,S1,1785,-8.894219495046704e-11
E3SM,S1,1786,-3.5469030201040494e-11
E3SM,S1,1787,2.6169808073384104e-11
E3SM,S1,1788,-1.455810155569541e-12
E3SM,S1,1789,1.5117740740776556e-11
E3SM,S1,1790,1.1603179568986817e-10
E3SM,S1,1791,-4.4429354338642706e-11
E3SM,S1,1792,-6.84740551753507e-11
E3SM,S1,1793,1.7256600591253246e-11
E3SM,S1,1794,1.896490217042837e-11
E3SM,S1,1795,-1.9237171339114665e-12
E3SM,S1,1796,-8.281664744578777e-11
E3SM,S1,1797,1.2036211948997692e-10
E3SM,S1,1798,1.1554045821484609e-10
E3SM,S1,1799,6.64370737627487e-12
E3SM,S1,1800,5.552914157039415e-11
E3SM,S1,1801,2.326104361048242e-11
E3SM,S1,1802,-1.611723515076373e-10
E3SM,S1,1803,3.8559161119360244e-11
E3SM,S1,1804,1.2901219759255825e-10
E3SM,S1,1805,-8.77969659433992e-11
E3SM,S1,1806,-3.263455072923875e-11
E3SM,S1,1807,2.744591104782593e-11
E3SM,S1,1808,-1.248606610579652e-13
E3SM,S1,1809,1.3681717797297835e-11
E3SM,S1,1810,1.1763900907233442e-10
E3SM,S1,1811,-4.4516577209028076e-11
E3SM,S1,1812,-6.904649935523846e-11
E3SM,S1,1813,1.3427105257042112e-11
E3SM,S1,1814,1.7832039646191813e-11
E3SM,S1,1815,-3.68640096139043e-12
E3SM,S1,1816,-8.511671917211549e-11
E3SM,S1,1817,1.1593602286599812e-10
E3SM,S1,1818,1.1205373828885623e-10
E3SM,S1,1819,2.7777010519415484e-12
E3SM,S1,1820,5.243314695900703e-11
E3SM,S1,1821,1.9821033011274276e-11
E3SM,S1,1822,-1.6566710619193744e-10
E3SM,S1,1823,3.4762171032989776e-11
E3SM,S1,1824,1.2421553919290925e-10
E3SM,S1,1825,-9.161689278812024e-11
E3SM,S1,1826,-3.822800834924226e-11
E3SM,S1,1827,2.384592171321609e-11
E3SM,S1,1828,-2.58136671241185e-12
E3SM,S1,1829,1.1308452429474876e-11
E3SM,S1,1830,1.1363086882275231e-10
E3SM,S1,1831,-4.718777476805879e-11
E3SM,S1,1832,-7.188250803888296e-11
E3SM,S1,1833,1.4338053634751775e-11
E3SM,S1,1834,1.455227189747029e-11
E3SM,S1,1835,-5.10136306817375e-12
E3SM,S1,1836,-8.51592998427577e-11
E3SM,S1,1837,1.1752814402745448e-10
E3SM,S1,1838,1.1315855348946386e-10
E3SM,S1,1839,3.583389016986736e-12
E3SM,S1,1840,5.355790654514683e-11
E3SM,S1,1841,2.2929579083814167e-11
E3SM,S1,1842,-1.6228860039933272e-10
E3SM,S1,1843,3.632995599470608e-11
E3SM,S1,1844,1.298022932323105e-10
E3SM,S1,1845,-8.714590022321178e-11
E3SM,S1,1846,-3.266930155542169e-11
E3SM,S1,1847,2.9182720676087746e-11
E3SM,S1,1848,-8.399162660445811e-13
E3SM,S1,1849,1.3707614271581588e-11
E3SM,S1,1850,1.194466466888412e-10
E3SM,S1,1851,-4.3509571096933733e-11
E3SM,S1,1852,-6.929304030640514e-11
E3SM,S1,1853,1.2844453368459013e-11
E3SM,S1,1854,1.7724933011697218e-11
E3SM,S1,1855,-4.1195131408767725e-12
E3SM,S1,1856,-8.447657449476613e-11
E3SM,S1,1857,1.1752316828778293e-10
E3SM,S1,1858,1.1263262819381742e-10
E3SM,S1,1859,3.95842112467498e-12
E3SM,S1,1860,5.1201216652562655e-11
E3SM,S1,1861,2.0779704182992984e-11
E3SM,S1,1862,-1.6446210009829117e-10
E3SM,S1,1863,3.520380116641932e-11
E3SM,S1,1864,1.2704542634755973e-10
E3SM,S1,1865,-8.934822841569182e-11
E3SM,S1,1866,-3.568821951344958e-11
E3SM,S1,1867,2.7369929584360606e-11
E3SM,S1,1868,-1.5789091419697685e-12
E3SM,S1,1869,1.5550508168043505e-11
E3SM,S1,1870,1.2003157032867886e-10
E3SM,S1,1871,-4.4496938786346374e-11
E3SM,S1,1872,-6.89000696910193e-11
E3SM,S1,1873,1.8715445585250005e-11
E3SM,S1,1874,2.104024400448367e-11
E3SM,S1,1875,-1.1714324382421048e-14
E3SM,S1,1876,-8.210392081479328e-11
E3SM,S1,1877,1.2250612636186784e-10
E3SM,S1,1878,1.1761342721445724e-10
E3SM,S1,1879,8.051681623230534e-12
E3SM,S1,1880,5.657435110351647e-11
E3SM,S1,1881,2.6536774997846366e-11
E3SM,S1,1882,-1.6188757772621175e-10
E3SM,S1,1883,4.089225104939849e-11
E3SM,S1,1884,1.3449495048764424e-10
E3SM,S1,1885,-8.539297116099426e-11
E3SM,S1,1886,-2.8682668389459238e-11
E3SM,S1,1887,3.311010093813516e-11
E3SM,S1,1888,3.318467970160836e-12
E3SM,S1,1889,2.0446685827914652e-11
E3SM,S1,1890,1.299192492828462e-10
E3SM,S1,1891,-3.757017716470975e-11
E3SM,S1,1892,-6.321589461759458e-11
E3SM,S1,1893,2.3202191014823073e-11
E3SM,S1,1894,2.6501709314586093e-11
E3SM,S1,1895,4.3955268848563015e-12
E3SM,S1,1896,-7.668958595206088e-11
E3SM,S1,1897,1.3005880775566524e-10
E3SM,S1,1898,1.2505900148829696e-10
E3SM,S1,1899,1.0457930394143701e-11
E3SM,S1,1900,5.973189458099373e-11
E3SM,S1,1901,3.06734116887714e-11
E3SM,S1,1902,-1.5949922212828945e-10
E3SM,S1,1903,4.4780848800929484e-11
E3SM,S1,1904,1.3929047001827347e-10
E3SM,S1,1905,-8.364293346483687e-11
E3SM,S1,1906,-2.8893826084637687e-11
E3SM,S1,1907,3.566301698219453e-11
E3SM,S1,1908,4.349396815733703e-12
E3SM,S1,1909,2.1733528122168414e-11
