model,experiment,year,nbp_global_mean
EDv3,S0,1700,1.8903960997789455e-10
EDv3,S0,1701,5.782968172728349e-11
EDv3,S0,1702,2.131610551168728e-10
EDv3,S0,1703,6.925134822176098e-11
EDv3,S0,1704,-1.0563594008158814e-10
EDv3,S0,1705,-5.998962004550312e-11
EDv3,S0,1706,3.506323808508897e-11
EDv3,S0,1707,-7.157499643157967e-11
EDv3,S0,1708,6.720193304062771e-12
EDv3,S0,1709,-1.7486569667496794e-12
EDv3,S0,1710,2.6933249931087735e-11
EDv3,S0,1711,-3.855969331202257e-11
EDv3,S0,1712,1.6439900982876555e-10
EDv3,S0,1713,-7.766384364245966e-11
EDv3,S0,1714,3.5422577552475095e-11
EDv3,S0,1715,-1.5012030071746083e-10
EDv3,S0,1716,-1.3402834142226564e-10
EDv3,S0,1717,1.8644059054553954e-10
EDv3,S0,1718,5.5405841894457915e-12
EDv3,S0,1719,-4.0985800487547165e-11
EDv3,S0,1720,1.9480887436970254e-10
EDv3,S0,1721,6.198189042674482e-11
EDv3,S0,1722,2.129536125984404e-10
EDv3,S0,1723,6.897281066310358e-11
EDv3,S0,1724,-1.020672367647017e-10
EDv3,S0,1725,-5.858570301459555e-11
EDv3,S0,1726,3.5695982111055244e-11
EDv3,S0,1727,-7.119214527100437e-11
EDv3,S0,1728,7.591972249806069e-12
EDv3,S0,1729,-3.2060950295087206e-12
EDv3,S0,1730,2.8161869394875005e-11
EDv3,S0,1731,-4.1022659166826537e-11
EDv3,S0,1732,1.5998858526649315e-10
EDv3,S0,1733,-7.914333991854321e-11
EDv3,S0,1734,3.3327610039157004e-11
EDv3,S0,1735,-1.496402116306183e-10
EDv3,S0,1736,-1.40583561961475e-10
EDv3,S0,1737,1.8192548012682515e-10
EDv3,S0,1738,7.406566000963103e-12
EDv3,S0,1739,-4.160478231113338e-11
EDv3,S0,1740,1.9176741588701722e-10
EDv3,S0,1741,5.917072574608478e-11
EDv3,S0,1742,2.11785192989152e-10
EDv3,S0,1743,6.669775104464377e-11
EDv3,S0,1744,-1.0547390499214553e-10
EDv3,S0,1745,-6.356939871151608e-11
EDv3,S0,1746,2.985700642714667e-11
EDv3,S0,1747,-7.500164749421649e-11
EDv3,S0,1748,2.959166621528318e-12
EDv3,S0,1749,-2.5812973406723515e-12
EDv3,S0,1750,2.434959853306184e-11
EDv3,S0,1751,-4.387775515900736e-11
EDv3,S0,1752,1.5830900925218277e-10
