model,experiment,year,nbp_global_mean
ELM-FATES,S3,1701,-5.366844e-11
ELM-FATES,S3,1702,-2.3943209e-11
ELM-FATES,S3,1703,8.625156e-11
ELM-FATES,S3,1704,-1.7637919e-11
ELM-FATES,S3,1705,-9.859696e-11
ELM-FATES,S3,1706,-5.1071064e-11
ELM-FATES,S3,1707,3.796681e-11
ELM-FATES,S3,1708,-1.1162187e-11
ELM-FATES,S3,1709,-4.006542e-11
ELM-FATES,S3,1710,-1.03698465e-11
ELM-FATES,S3,1711,-5.6737243e-11
ELM-FATES,S3,1712,5.64353e-11
ELM-FATES,S3,1713,1.7664556e-11
ELM-FATES,S3,1714,3.5569186e-11
ELM-FATES,S3,1715,-9.908787e-11
ELM-FATES,S3,1716,-6.819257e-11
ELM-FATES,S3,1717,9.91988e-12
ELM-FATES,S3,1718,-1.1066865e-10
ELM-FATES,S3,1719,-9.443726e-11
ELM-FATES,S3,1720,1.0465392e-10
ELM-FATES,S3,1721,-4.7079545e-11
ELM-FATES,S3,1722,-2.0369975e-11
ELM-FATES,S3,1723,8.0786634e-11
ELM-FATES,S3,1724,6.7068803e-12
ELM-FATES,S3,1725,-2.1513688e-11
ELM-FATES,S3,1726,-6.236465e-12
ELM-FATES,S3,1727,-1.7770821e-11
ELM-FATES,S3,1728,4.809821e-11
ELM-FATES,S3,1729,2.126975e-11
ELM-FATES,S3,1730,2.4150468e-11
ELM-FATES,S3,1731,1.28531396e-11
ELM-FATES,S3,1732,1.5145679e-10
ELM-FATES,S3,1733,5.86868e-11
ELM-FATES,S3,1734,8.362811e-11
ELM-FATES,S3,1735,-6.8799084e-11
ELM-FATES,S3,1736,-4.390016e-12
ELM-FATES,S3,1737,-1.17498095e-11
ELM-FATES,S3,1738,-1.9826904e-11
ELM-FATES,S3,1739,-7.113111e-12
ELM-FATES,S3,1740,9.679243e-11
ELM-FATES,S3,1741,-5.950731e-12
ELM-FATES,S3,1742,2.1974375e-11
ELM-FATES,S3,1743,3.277407e-11
ELM-FATES,S3,1744,1.8038904e-12
ELM-FATES,S3,1745,-5.5060356e-11
ELM-FATES,S3,1746,-3.33496e-11
ELM-FATES,S3,1747,-4.6774102e-11
ELM-FATES,S3,1748,-1.9988178e-12
ELM-FATES,S3,1749,-3.716932e-11
ELM-FATES,S3,1750,-6.230418e-11
ELM-FATES,S3,1751,-6.9471935e-11
ELM-FATES,S3,1752,1.0528323e-10
ELM-FATES,S3,1753,2.1980048e-11
ELM-FATES,S3,1754,5.4204766e-11
ELM-FATES,S3,1755,-9.562603e-11
ELM-FATES,S3,1756,-3.871638e-11
ELM-FATES,S3,1757,2.2401154e-12
ELM-FATES,S3,1758,-1.02062074e-10
ELM-FATES,S3,1759,-7.8100436e-11
ELM-FATES,S3,1760,1.3792052e-10
ELM-FATES,S3,1761,-3.8501164e-11
ELM-FATES,S3,1762,-6.812812e-11
ELM-FATES,S3,1763,3.104707e-11
ELM-FATES,S3,1764,-4.7941603e-12
ELM-FATES,S3,1765,-1.03135465e-10
ELM-FATES,S3,1766,-6.507e-11
ELM-FATES,S3,1767,-9.363181e-12
ELM-FATES,S3,1768,-3.5288928e-11
ELM-FATES,S3,1769,-8.310991e-11
ELM-FATES,S3,1770,-2.5799737e-11
ELM-FATES,S3,1771,-5.884589e-11
ELM-FATES,S3,1772,8.125146e-11
ELM-FATES,S3,1773,1.17633585e-11
ELM-FATES,S3,1774,7.049906e-11
ELM-FATES,S3,1775,-1.3184275e-10
ELM-FATES,S3,1776,-7.064165e-11
ELM-FATES,S3,1777,-1.268733e-11
ELM-FATES,S3,1778,-7.7404215e-11
ELM-FATES,S3,1779,-1.02525814e-10
ELM-FATES,S3,1780,1.4970114e-10
ELM-FATES,S3,1781,-1.6673959e-11
ELM-FATES,S3,1782,-3.8386058e-11
ELM-FATES,S3,1783,3.416944e-11
ELM-FATES,S3,1784,-2.3917998e-11
ELM-FATES,S3,1785,-6.9502924e-11
ELM-FATES,S3,1786,-4.8184064e-11
ELM-FATES,S3,1787,2.3693427e-11
ELM-FATES,S3,1788,5.14264e-11
ELM-FATES,S3,1789,-3.594505e-11
ELM-FATES,S3,1790,-1.489959e-11
ELM-FATES,S3,1791,-1.1815539e-11
ELM-FATES,S3,1792,7.493434e-11
ELM-FATES,S3,1793,4.8633788e-11
ELM-FATES,S3,1794,6.781557e-11
ELM-FATES,S3,1795,-7.664401e-11
ELM-FATES,S3,1796,3.2640557e-14
ELM-FATES,S3,1797,-1.9739257e-11
ELM-FATES,S3,1798,-5.953137e-11
ELM-FATES,S3,1799,-2.6248032e-11
ELM-FATES,S3,1800,1.709044e-10
ELM-FATES,S3,1801,-7.8474456e-11
ELM-FATES,S3,1802,-3.5156336e-11
ELM-FATES,S3,1803,2.1763652e-11
ELM-FATES,S3,1804,-1.8111157e-11
ELM-FATES,S3,1805,-1.01918175e-10
