model,experiment,year,nbp_global_mean
GDSTEM,S1,1700,2.1707136e-10
GDSTEM,S1,1701,-3.6304212e-10
GDSTEM,S1,1702,-1.1773253e-10
GDSTEM,S1,1703,9.575659e-11
GDSTEM,S1,1704,-7.86817e-11
GDSTEM,S1,1705,3.790676e-11
GDSTEM,S1,1706,2.7977684e-11
GDSTEM,S1,1707,-7.0030557e-12
GDSTEM,S1,1708,3.2228258e-11
GDSTEM,S1,1709,-6.006806e-11
GDSTEM,S1,1710,7.405526e-11
GDSTEM,S1,1711,-1.179465e-10
GDSTEM,S1,1712,1.9189225e-11
GDSTEM,S1,1713,-1.3751973e-10
GDSTEM,S1,1714,-9.9582835e-11
GDSTEM,S1,1715,1.3196044e-10
GDSTEM,S1,1716,-8.3307305e-11
GDSTEM,S1,1717,1.5637712e-10
GDSTEM,S1,1718,1.02424735e-11
GDSTEM,S1,1719,1.3690456e-10
GDSTEM,S1,1720,8.751818e-11
GDSTEM,S1,1721,-2.1647074e-10
GDSTEM,S1,1722,-3.859867e-11
GDSTEM,S1,1723,1.14933396e-10
GDSTEM,S1,1724,-3.8212062e-11
GDSTEM,S1,1725,6.324006e-11
GDSTEM,S1,1726,5.5046568e-11
GDSTEM,S1,1727,1.7835344e-11
GDSTEM,S1,1728,6.46709e-11
GDSTEM,S1,1729,-2.7531977e-11
GDSTEM,S1,1730,1.1845284e-10
GDSTEM,S1,1731,-7.8705896e-11
GDSTEM,S1,1732,5.4146455e-11
GDSTEM,S1,1733,-1.1903242e-10
GDSTEM,S1,1734,-8.389592e-11
GDSTEM,S1,1735,1.2868591e-10
GDSTEM,S1,1736,-7.664613e-11
GDSTEM,S1,1737,1.5130412e-10
GDSTEM,S1,1738,1.9494961e-12
GDSTEM,S1,1739,1.1636649e-10
GDSTEM,S1,1740,6.934464e-11
GDSTEM,S1,1741,-2.4153676e-10
GDSTEM,S1,1742,-5.5081106e-11
GDSTEM,S1,1743,9.518392e-11
GDSTEM,S1,1744,-5.884298e-11
GDSTEM,S1,1745,3.9331278e-11
GDSTEM,S1,1746,3.0176295e-11
GDSTEM,S1,1747,-1.6798951e-11
GDSTEM,S1,1748,2.621331e-11
GDSTEM,S1,1749,-7.096598e-11
GDSTEM,S1,1750,6.9977635e-11
GDSTEM,S1,1751,-1.3070894e-10
GDSTEM,S1,1752,2.2505793e-12
GDSTEM,S1,1753,-1.6509198e-10
GDSTEM,S1,1754,-1.2429822e-10
GDSTEM,S1,1755,9.409767e-11
GDSTEM,S1,1756,-1.0819487e-10
GDSTEM,S1,1757,1.2627115e-10
GDSTEM,S1,1758,-1.5936733e-11
GDSTEM,S1,1759,9.686146e-11
GDSTEM,S1,1760,5.985191e-11
GDSTEM,S1,1761,-2.5457633e-10
GDSTEM,S1,1762,-6.5109175e-11
GDSTEM,S1,1763,8.8236675e-11
GDSTEM,S1,1764,-6.6949835e-11
GDSTEM,S1,1765,3.3361525e-11
GDSTEM,S1,1766,3.4986163e-11
GDSTEM,S1,1767,-9.025336e-12
GDSTEM,S1,1768,4.17071e-11
GDSTEM,S1,1769,-4.5966522e-11
