model,experiment,year,nbp_global_mean
IBIS,S2,1700,-9.9738516e-11
IBIS,S2,1701,-9.8488606e-11
IBIS,S2,1702,-2.0994406e-10
IBIS,S2,1703,1.0731601e-10
IBIS,S2,1704,1.2415667e-10
IBIS,S2,1705,-1.3263333e-10
IBIS,S2,1706,-1.9076499e-11
IBIS,S2,1707,-1.1359965e-10
IBIS,S2,1708,6.4645143e-12
IBIS,S2,1709,-1.899203e-11
IBIS,S2,1710,4.0705456e-11
IBIS,S2,1711,-1.9729218e-11
IBIS,S2,1712,-5.634167e-11
IBIS,S2,1713,9.451562e-11
IBIS,S2,1714,-7.7103025e-11
IBIS,S2,1715,-1.2168451e-11
IBIS,S2,1716,-2.7811364e-11
IBIS,S2,1717,-1.5508594e-11
IBIS,S2,1718,-8.696462e-11
IBIS,S2,1719,-4.5678312e-11
IBIS,S2,1720,2.8863578e-11
IBIS,S2,1721,-2.1246541e-11
IBIS,S2,1722,-1.4974356e-10
IBIS,S2,1723,1.4799928e-10
IBIS,S2,1724,1.5539951e-10
IBIS,S2,1725,-1.0694221e-10
IBIS,S2,1726,4.335051e-12
IBIS,S2,1727,-9.266079e-11
IBIS,S2,1728,2.6174321e-11
IBIS,S2,1729,-7.320626e-13
IBIS,S2,1730,5.7548372e-11
IBIS,S2,1731,-4.777456e-12
IBIS,S2,1732,-4.3630044e-11
IBIS,S2,1733,1.0495151e-10
IBIS,S2,1734,-6.988519e-11
IBIS,S2,1735,-8.062291e-12
IBIS,S2,1736,-2.7164179e-11
IBIS,S2,1737,-1.8171445e-11
IBIS,S2,1738,-9.333231e-11
IBIS,S2,1739,-5.5566867e-11
IBIS,S2,1740,1.570638e-11
IBIS,S2,1741,-3.7510533e-11
IBIS,S2,1742,-1.686823e-10
IBIS,S2,1743,1.264514e-10
IBIS,S2,1744,1.3185975e-10
IBIS,S2,1745,-1.3184746e-10
IBIS,S2,1746,-2.2155389e-11
IBIS,S2,1747,-1.1974287e-10
IBIS,S2,1748,-1.6521599e-12
IBIS,S2,1749,-2.8773761e-11
IBIS,S2,1750,2.939134e-11
IBIS,S2,1751,-3.2055875e-11
IBIS,S2,1752,-6.976336e-11
IBIS,S2,1753,7.9955896e-11
IBIS,S2,1754,-9.235276e-11
IBIS,S2,1755,-2.8433941e-11
IBIS,S2,1756,-4.4603227e-11
IBIS,S2,1757,-3.313479e-11
IBIS,S2,1758,-1.0457252e-10
IBIS,S2,1759,-6.3082185e-11
IBIS,S2,1760,1.1110168e-11
IBIS,S2,1761,-3.8546277e-11
IBIS,S2,1762,-1.6581624e-10
IBIS,S2,1763,1.3212893e-10
IBIS,S2,1764,1.4083341e-10
IBIS,S2,1765,-1.1944858e-10
IBIS,S2,1766,-6.6215735e-12
IBIS,S2,1767,-1.0103429e-10
IBIS,S2,1768,2.0184021e-11
IBIS,S2,1769,-3.851993e-12
IBIS,S2,1770,5.7511718e-11
IBIS,S2,1771,-1.1730802e-12
IBIS,S2,1772,-3.6156855e-11
