model,experiment,year,nbp_global_mean
ISAM,S2,1700,-1.7468219371680233e-11
ISAM,S2,1701,-9.428507230857377e-11
ISAM,S2,1702,-1.5100120876159247e-10
ISAM,S2,1703,8.49012433016779e-11
ISAM,S2,1704,1.7152453586416394e-10
ISAM,S2,1705,-1.737192232128847e-10
ISAM,S2,1706,8.459048880948797e-11
ISAM,S2,1707,2.432915465083868e-11
ISAM,S2,1708,3.62795825250881e-11
ISAM,S2,1709,2.656214861330418e-11
ISAM,S2,1710,7.303624576862005e-11
ISAM,S2,1711,-1.066278607691651e-10
ISAM,S2,1712,5.791641333033623e-12
ISAM,S2,1713,3.4185307931562733e-11
ISAM,S2,1714,1.8994043263665453e-11
ISAM,S2,1715,-1.9356066877169396e-10
ISAM,S2,1716,9.1989690705506e-11
ISAM,S2,1717,2.2070017904668037e-10
ISAM,S2,1718,9.843357911551865e-11
ISAM,S2,1719,-1.4675131864740375e-10
ISAM,S2,1720,-4.15252378546072e-12
ISAM,S2,1721,-7.750103472688821e-11
ISAM,S2,1722,-1.5378564636969436e-10
ISAM,S2,1723,8.528743269088217e-11
ISAM,S2,1724,1.7611090841767002e-10
ISAM,S2,1725,-1.6624178927969203e-10
ISAM,S2,1726,9.138589964730035e-11
ISAM,S2,1727,3.014597032703576e-11
ISAM,S2,1728,4.759042202244465e-11
ISAM,S2,1729,3.482334949735678e-11
ISAM,S2,1730,8.238599235527677e-11
ISAM,S2,1731,-9.783764895454561e-11
ISAM,S2,1732,1.561886816112234e-11
ISAM,S2,1733,3.927993101816441e-11
ISAM,S2,1734,1.9284694664044184e-11
ISAM,S2,1735,-1.913317974189697e-10
ISAM,S2,1736,8.906784124142764e-11
ISAM,S2,1737,2.1523741574477312e-10
ISAM,S2,1738,9.215619707027122e-11
ISAM,S2,1739,-1.5807636799153082e-10
ISAM,S2,1740,-2.0342885139098025e-11
ISAM,S2,1741,-9.61502882204064e-11
ISAM,S2,1742,-1.7418869903965537e-10
ISAM,S2,1743,6.418140518635968e-11
ISAM,S2,1744,1.5171234574191774e-10
ISAM,S2,1745,-1.9051405807176156e-10
ISAM,S2,1746,6.338329969096979e-11
ISAM,S2,1747,3.2537110264113196e-12
ISAM,S2,1748,1.6365678235845743e-11
ISAM,S2,1749,4.712739059076332e-12
ISAM,S2,1750,5.124014686942808e-11
ISAM,S2,1751,-1.282877242789951e-10
ISAM,S2,1752,-1.3491242888801892e-11
ISAM,S2,1753,1.0996415580037378e-11
ISAM,S2,1754,-4.204896511285042e-12
ISAM,S2,1755,-2.157149876992985e-10
ISAM,S2,1756,6.818937397206203e-11
ISAM,S2,1757,1.953068987501592e-10
ISAM,S2,1758,7.685321352150144e-11
ISAM,S2,1759,-1.694339496632114e-10
ISAM,S2,1760,-2.9242667037192356e-11
ISAM,S2,1761,-1.0133344477133849e-10
ISAM,S2,1762,-1.765754299571581e-10
ISAM,S2,1763,6.358193760259044e-11
ISAM,S2,1764,1.537667394553083e-10
ISAM,S2,1765,-1.835376093325928e-10
ISAM,S2,1766,7.37583286096436e-11
ISAM,S2,1767,1.5159778957013912e-11
ISAM,S2,1768,3.441090445601545e-11
ISAM,S2,1769,2.5948445576001483e-11
ISAM,S2,1770,7.604032381822417e-11
ISAM,S2,1771,-1.0303508939456583e-10
ISAM,S2,1772,1.538283819069492e-11
ISAM,S2,1773,4.562071821189055e-11
ISAM,S2,1774,2.9733773833729586e-11
ISAM,S2,1775,-1.7911686969216405e-10
ISAM,S2,1776,1.0676569941453859e-10
ISAM,S2,1777,2.3824930072882885e-10
ISAM,S2,1778,1.2147456769340915e-10
ISAM,S2,1779,-1.2308361738592803e-10
ISAM,S2,1780,2.0699918769723107e-11
ISAM,S2,1781,-5.139316556480326e-11
ISAM,S2,1782,-1.2449497752167528e-10
ISAM,S2,1783,1.1931594250555726e-10
ISAM,S2,1784,2.1254897415964895e-10
ISAM,S2,1785,-1.2714689216799944e-10
ISAM,S2,1786,1.368283669090859e-10
ISAM,S2,1787,7.698091945864408e-11
ISAM,S2,1788,9.710687969781701e-11
ISAM,S2,1789,9.253520309265779e-11
ISAM,S2,1790,1.4282616478871175e-10
ISAM,S2,1791,-3.611784199187007e-11
ISAM,S2,1792,8.096489624027253e-11
ISAM,S2,1793,1.123523072167623e-10
ISAM,S2,1794,9.887063130373466e-11
ISAM,S2,1795,-1.1231345804744312e-10
ISAM,S2,1796,1.772151025519853e-10
ISAM,S2,1797,3.060781063410432e-10
ISAM,S2,1798,1.8739127692629675e-10
ISAM,S2,1799,-6.046466324215488e-11
ISAM,S2,1800,8.2787489525101e-11
ISAM,S2,1801,9.956039630707856e-12
ISAM,S2,1802,-7.07752325900821e-11
ISAM,S2,1803,1.7152904690178874e-10
ISAM,S2,1804,2.614218240815238e-10
ISAM,S2,1805,-8.597358867919477e-11
ISAM,S2,1806,1.7554496915031328e-10
ISAM,S2,1807,1.0966769267870802e-10
ISAM,S2,1808,1.2293979325383205e-10
ISAM,S2,1809,1.1330011101887712e-10
ISAM,S2,1810,1.5829535949322976e-10
ISAM,S2,1811,-2.903466934570731e-11
ISAM,S2,1812,8.453646425095413e-11
ISAM,S2,1813,1.0649759851777718e-10
ISAM,S2,1814,8.786716930872649e-11
ISAM,S2,1815,-1.3066033330226663e-10
ISAM,S2,1816,1.5412686526175968e-10
ISAM,S2,1817,2.798065655529586e-10
ISAM,S2,1818,1.5527463091886603e-10
ISAM,S2,1819,-1.0071265257213573e-10
ISAM,S2,1820,3.955988630413295e-11
ISAM,S2,1821,-3.5427058118723064e-11
ISAM,S2,1822,-1.200515405489519e-10
ISAM,S2,1823,1.2111290186675616e-10
ISAM,S2,1824,2.1062311504566064e-10
ISAM,S2,1825,-1.392631076649607e-10
ISAM,S2,1826,1.2303664233358243e-10
ISAM,S2,1827,5.935720562889137e-11
ISAM,S2,1828,7.452398004682861e-11
ISAM,S2,1829,6.69337696001167e-11
ISAM,S2,1830,1.1438475783721415e-10
ISAM,S2,1831,-6.838952845015577e-11
ISAM,S2,1832,4.8729847396016594e-11
ISAM,S2,1833,7.628795201790274e-11
ISAM,S2,1834,6.137159324331741e-11
ISAM,S2,1835,-1.518087460064123e-10
ISAM,S2,1836,1.3849904776022348e-10
ISAM,S2,1837,2.7124333726604713e-10
ISAM,S2,1838,1.531570915326634e-10
ISAM,S2,1839,-9.594009798401374e-11
ISAM,S2,1840,5.037268732740675e-11
ISAM,S2,1841,-1.594960901769316e-11
ISAM,S2,1842,-9.489334384477076e-11
ISAM,S2,1843,1.5522591094912176e-10
ISAM,S2,1844,2.49122152741932e-10
ISAM,S2,1845,-9.502338023446739e-11
ISAM,S2,1846,1.7128514459037126e-10
ISAM,S2,1847,1.0487211296919384e-10
