model,experiment,year,nbp_global_mean
JULES,S0,1700,1.9913748260665215e-10
JULES,S0,1701,-5.8004193801767566e-11
JULES,S0,1702,-8.706785057540454e-11
JULES,S0,1703,1.206048345004275e-10
JULES,S0,1704,1.485141769181386e-10
JULES,S0,1705,-2.2272763958387412e-10
JULES,S0,1706,1.9515537216220168e-10
JULES,S0,1707,9.0719152864433e-11
JULES,S0,1708,3.5032684466259196e-11
JULES,S0,1709,7.06375184388095e-13
JULES,S0,1710,1.3003590589173992e-10
JULES,S0,1711,-1.0234175455179347e-10
JULES,S0,1712,-4.3581511469939555e-11
JULES,S0,1713,-2.450205468174035e-12
JULES,S0,1714,-5.433389648667914e-11
JULES,S0,1715,-3.0400603260068895e-10
JULES,S0,1716,6.889927572682129e-11
JULES,S0,1717,2.6725358950197926e-10
JULES,S0,1718,2.8663548851192e-12
JULES,S0,1719,-2.552291318811681e-10
JULES,S0,1720,8.68691587160379e-11
JULES,S0,1721,-1.0796193963075444e-10
JULES,S0,1722,-1.1977420390349624e-10
JULES,S0,1723,9.012852198709489e-11
JULES,S0,1724,1.2782623601874547e-10
JULES,S0,1725,-2.3727216201716885e-10
JULES,S0,1726,1.8406721374199425e-10
JULES,S0,1727,8.354757671318256e-11
JULES,S0,1728,2.8914019175273126e-11
JULES,S0,1729,-2.8874331721934175e-12
JULES,S0,1730,1.2751416854006918e-10
JULES,S0,1731,-1.0465781044584259e-10
JULES,S0,1732,-4.5508733431396944e-11
JULES,S0,1733,-2.7048488420530176e-12
JULES,S0,1734,-5.5087414161895855e-11
JULES,S0,1735,-3.038284630611846e-10
JULES,S0,1736,6.901474462773036e-11
JULES,S0,1737,2.677010372265314e-10
JULES,S0,1738,4.01608369882403e-12
JULES,S0,1739,-2.5493555273623693e-10
JULES,S0,1740,8.709199235513747e-11
JULES,S0,1741,-1.0750253198111741e-10
JULES,S0,1742,-1.1986665817642916e-10
JULES,S0,1743,8.996888478662988e-11
JULES,S0,1744,1.2738468709048622e-10
JULES,S0,1745,-2.370668842409669e-10
JULES,S0,1746,1.8491821639320888e-10
JULES,S0,1747,8.383249844997442e-11
JULES,S0,1748,2.9662502894435296e-11
JULES,S0,1749,-1.3747883684962946e-12
JULES,S0,1750,1.277684685168877e-10
JULES,S0,1751,-1.0367159124402491e-10
JULES,S0,1752,-4.519160717368725e-11
JULES,S0,1753,-2.595816896224226e-12
JULES,S0,1754,-5.4265425041897234e-11
JULES,S0,1755,-3.0253978211761874e-10
JULES,S0,1756,6.908521571279719e-11
JULES,S0,1757,2.681216861030319e-10
JULES,S0,1758,4.698396872823498e-12
JULES,S0,1759,-2.548025275869044e-10
JULES,S0,1760,8.744710516092024e-11
JULES,S0,1761,-1.0724269635591137e-10
JULES,S0,1762,-1.2032808534963613e-10
JULES,S0,1763,9.091385425172293e-11
JULES,S0,1764,1.273963555985949e-10
JULES,S0,1765,-2.3718375653436304e-10
JULES,S0,1766,1.8553036871041682e-10
JULES,S0,1767,8.400029469830809e-11
JULES,S0,1768,2.966577440469624e-11
JULES,S0,1769,-4.524729007100899e-13
JULES,S0,1770,1.276953830842797e-10
JULES,S0,1771,-1.0384756247978356e-10
JULES,S0,1772,-4.589226209098939e-11
JULES,S0,1773,-2.8096552463824254e-12
JULES,S0,1774,-5.511752823456176e-11
JULES,S0,1775,-3.0309627540244443e-10
JULES,S0,1776,6.923499252333528e-11
JULES,S0,1777,2.6822522863784096e-10
JULES,S0,1778,4.391127089160514e-12
JULES,S0,1779,-2.549227881365976e-10
JULES,S0,1780,8.74329939492472e-11
JULES,S0,1781,-1.0753120227108845e-10
JULES,S0,1782,-1.2012121753577992e-10
JULES,S0,1783,9.063714502468482e-11
JULES,S0,1784,1.266748676757683e-10
JULES,S0,1785,-2.377767828995909e-10
JULES,S0,1786,1.854531477034594e-10
JULES,S0,1787,8.351752206349674e-11
JULES,S0,1788,2.861351377323657e-11
JULES,S0,1789,-7.51037269535083e-13
JULES,S0,1790,1.274853071118936e-10
JULES,S0,1791,-1.0399497268878247e-10
JULES,S0,1792,-4.64717019122271e-11
JULES,S0,1793,-4.1906385523483706e-12
JULES,S0,1794,-5.522118676935005e-11
