model,experiment,year,nbp_global_mean
LPJ-EOSIM,S1,1699,-2.4751987e-09
LPJ-EOSIM,S1,1700,6.6913883e-12
LPJ-EOSIM,S1,1701,-2.5940028e-11
LPJ-EOSIM,S1,1702,-3.591366e-11
LPJ-EOSIM,S1,1703,2.985967e-11
LPJ-EOSIM,S1,1704,2.9170708e-10
LPJ-EOSIM,S1,1705,1.3269448e-10
LPJ-EOSIM,S1,1706,-1.11729535e-10
LPJ-EOSIM,S1,1707,1.5014852e-10
LPJ-EOSIM,S1,1708,1.3140301e-10
LPJ-EOSIM,S1,1709,-5.705897e-11
LPJ-EOSIM,S1,1710,3.6694942e-11
LPJ-EOSIM,S1,1711,-3.123853e-11
LPJ-EOSIM,S1,1712,3.3283987e-11
LPJ-EOSIM,S1,1713,1.3500186e-10
LPJ-EOSIM,S1,1714,1.4940826e-10
LPJ-EOSIM,S1,1715,-1.2805394e-10
LPJ-EOSIM,S1,1716,1.646106e-10
LPJ-EOSIM,S1,1717,1.7752395e-10
LPJ-EOSIM,S1,1718,1.9327133e-13
LPJ-EOSIM,S1,1719,9.6934315e-11
LPJ-EOSIM,S1,1720,1.63683e-10
LPJ-EOSIM,S1,1721,1.3992396e-10
LPJ-EOSIM,S1,1722,1.9992913e-10
LPJ-EOSIM,S1,1723,-2.0940948e-10
LPJ-EOSIM,S1,1724,6.048693e-11
LPJ-EOSIM,S1,1725,1.9874102e-12
LPJ-EOSIM,S1,1726,8.260049e-11
LPJ-EOSIM,S1,1727,8.603784e-12
LPJ-EOSIM,S1,1728,4.5789983e-11
LPJ-EOSIM,S1,1729,1.3210372e-10
LPJ-EOSIM,S1,1730,9.640144e-11
LPJ-EOSIM,S1,1731,-5.187532e-11
LPJ-EOSIM,S1,1732,-1.5641839e-10
LPJ-EOSIM,S1,1733,-1.3502392e-10
LPJ-EOSIM,S1,1734,-1.56047e-10
LPJ-EOSIM,S1,1735,-4.472034e-11
LPJ-EOSIM,S1,1736,-1.4587749e-10
LPJ-EOSIM,S1,1737,-1.08259235e-10
LPJ-EOSIM,S1,1738,8.1532024e-11
LPJ-EOSIM,S1,1739,1.2792359e-12
LPJ-EOSIM,S1,1740,7.896122e-11
LPJ-EOSIM,S1,1741,1.6405788e-10
LPJ-EOSIM,S1,1742,9.882504e-11
LPJ-EOSIM,S1,1743,-1.990652e-10
LPJ-EOSIM,S1,1744,-7.4046845e-11
LPJ-EOSIM,S1,1745,-1.4557779e-10
LPJ-EOSIM,S1,1746,8.019311e-11
LPJ-EOSIM,S1,1747,-1.4040247e-10
LPJ-EOSIM,S1,1748,-1.0721041e-10
LPJ-EOSIM,S1,1749,-3.6898093e-10
LPJ-EOSIM,S1,1750,-9.093337e-11
LPJ-EOSIM,S1,1751,5.778143e-11
LPJ-EOSIM,S1,1752,-2.2312369e-10
LPJ-EOSIM,S1,1753,-4.348888e-11
LPJ-EOSIM,S1,1754,-5.5228638e-11
LPJ-EOSIM,S1,1755,-3.3070918e-11
LPJ-EOSIM,S1,1756,9.430159e-11
LPJ-EOSIM,S1,1757,7.757409e-11
LPJ-EOSIM,S1,1758,-8.647647e-11
LPJ-EOSIM,S1,1759,-1.8686154e-10
LPJ-EOSIM,S1,1760,-2.8316174e-10
LPJ-EOSIM,S1,1761,-4.3937392e-11
LPJ-EOSIM,S1,1762,1.4007599e-10
LPJ-EOSIM,S1,1763,8.502454e-11
LPJ-EOSIM,S1,1764,-4.5123332e-11
LPJ-EOSIM,S1,1765,-7.357022e-12
LPJ-EOSIM,S1,1766,4.8512916e-11
LPJ-EOSIM,S1,1767,-9.676643e-11
LPJ-EOSIM,S1,1768,2.3500898e-10
LPJ-EOSIM,S1,1769,-7.184211e-11
LPJ-EOSIM,S1,1770,-2.6029512e-11
LPJ-EOSIM,S1,1771,4.0569863e-11
LPJ-EOSIM,S1,1772,4.7492326e-11
LPJ-EOSIM,S1,1773,-2.884194e-10
LPJ-EOSIM,S1,1774,8.258616e-12
LPJ-EOSIM,S1,1775,-7.42432e-11
LPJ-EOSIM,S1,1776,3.1203015e-10
LPJ-EOSIM,S1,1777,1.8109558e-10
LPJ-EOSIM,S1,1778,7.703512e-11
LPJ-EOSIM,S1,1779,5.5106437e-11
LPJ-EOSIM,S1,1780,1.6163666e-10
LPJ-EOSIM,S1,1781,-1.2080703e-10
LPJ-EOSIM,S1,1782,4.3901067e-11
LPJ-EOSIM,S1,1783,4.412763e-11
LPJ-EOSIM,S1,1784,1.857553e-11
LPJ-EOSIM,S1,1785,1.6702839e-10
LPJ-EOSIM,S1,1786,2.1274627e-10
LPJ-EOSIM,S1,1787,3.6284464e-10
LPJ-EOSIM,S1,1788,9.412723e-11
LPJ-EOSIM,S1,1789,6.2911044e-11
LPJ-EOSIM,S1,1790,1.7856494e-10
LPJ-EOSIM,S1,1791,5.6273652e-11
LPJ-EOSIM,S1,1792,1.036094e-10
LPJ-EOSIM,S1,1793,8.0213614e-13
LPJ-EOSIM,S1,1794,8.61626e-11
LPJ-EOSIM,S1,1795,1.3196166e-11
LPJ-EOSIM,S1,1796,4.6954347e-11
LPJ-EOSIM,S1,1797,2.964904e-10
LPJ-EOSIM,S1,1798,6.4528126e-11
LPJ-EOSIM,S1,1799,2.2858208e-10
LPJ-EOSIM,S1,1800,2.824286e-10
LPJ-EOSIM,S1,1801,2.8553826e-11
LPJ-EOSIM,S1,1802,-1.9177426e-10
LPJ-EOSIM,S1,1803,-8.6866535e-11
LPJ-EOSIM,S1,1804,2.300607e-10
LPJ-EOSIM,S1,1805,7.377954e-11
LPJ-EOSIM,S1,1806,2.6292898e-10
LPJ-EOSIM,S1,1807,3.1616007e-10
LPJ-EOSIM,S1,1808,-9.7007104e-11
LPJ-EOSIM,S1,1809,1.15859156e-10
LPJ-EOSIM,S1,1810,4.201095e-11
LPJ-EOSIM,S1,1811,2.2773156e-10
LPJ-EOSIM,S1,1812,1.8880619e-10
LPJ-EOSIM,S1,1813,6.527909e-11
LPJ-EOSIM,S1,1814,9.413198e-11
LPJ-EOSIM,S1,1815,1.7496936e-10
LPJ-EOSIM,S1,1816,-3.8347787e-11
LPJ-EOSIM,S1,1817,6.2489604e-11
LPJ-EOSIM,S1,1818,2.1229402e-10
LPJ-EOSIM,S1,1819,8.0985475e-11
LPJ-EOSIM,S1,1820,2.5415497e-10
LPJ-EOSIM,S1,1821,1.969e-10
LPJ-EOSIM,S1,1822,-3.9787378e-11
LPJ-EOSIM,S1,1823,6.999513e-11
LPJ-EOSIM,S1,1824,2.5584004e-10
LPJ-EOSIM,S1,1825,2.1946867e-10
