model,experiment,year,nbp_global_mean
LPJ-GUESS,S3,1700,-3.225139779569313e-10
LPJ-GUESS,S3,1701,-6.794936182055435e-11
LPJ-GUESS,S3,1702,-1.5591325641292104e-10
LPJ-GUESS,S3,1703,2.370659216338153e-10
LPJ-GUESS,S3,1704,5.1081857042656895e-11
LPJ-GUESS,S3,1705,-9.182260627092324e-11
LPJ-GUESS,S3,1706,-7.284446918953865e-11
LPJ-GUESS,S3,1707,1.1379676419914512e-10
LPJ-GUESS,S3,1708,-2.778591609940668e-10
LPJ-GUESS,S3,1709,-1.634477146629511e-10
LPJ-GUESS,S3,1710,-5.604590193927113e-12
LPJ-GUESS,S3,1711,-3.1508104939619216e-10
LPJ-GUESS,S3,1712,-3.7364143509171427e-10
LPJ-GUESS,S3,1713,-2.1270022877415449e-10
LPJ-GUESS,S3,1714,-2.5770700848163084e-10
LPJ-GUESS,S3,1715,-6.264151050197676e-11
LPJ-GUESS,S3,1716,-7.998080584634773e-11
LPJ-GUESS,S3,1717,1.669890349212714e-10
LPJ-GUESS,S3,1718,-2.9591601361624365e-10
LPJ-GUESS,S3,1719,-3.3217598290699357e-10
LPJ-GUESS,S3,1720,-2.1616437567606604e-10
LPJ-GUESS,S3,1721,5.7271996912198244e-11
LPJ-GUESS,S3,1722,-4.56332567612127e-11
LPJ-GUESS,S3,1723,3.5067991807299537e-10
LPJ-GUESS,S3,1724,1.3389039566895995e-10
LPJ-GUESS,S3,1725,-1.3856437743856531e-11
LPJ-GUESS,S3,1726,2.648663613100773e-11
LPJ-GUESS,S3,1727,2.087593296479802e-10
LPJ-GUESS,S3,1728,-1.4549260611299375e-10
LPJ-GUESS,S3,1729,-4.59954577249517e-11
LPJ-GUESS,S3,1730,8.930526594651462e-11
LPJ-GUESS,S3,1731,-2.126895595618591e-10
LPJ-GUESS,S3,1732,-2.6378067664649474e-10
LPJ-GUESS,S3,1733,-1.020899730442177e-10
LPJ-GUESS,S3,1734,-1.6193061624260398e-10
LPJ-GUESS,S3,1735,-5.889219109460272e-11
LPJ-GUESS,S3,1736,-7.245706809674836e-11
LPJ-GUESS,S3,1737,1.712314308698281e-10
LPJ-GUESS,S3,1738,-2.9687752353125454e-10
LPJ-GUESS,S3,1739,-3.4047288437540253e-10
LPJ-GUESS,S3,1740,-2.0260967904271516e-10
LPJ-GUESS,S3,1741,7.741470304765465e-11
LPJ-GUESS,S3,1742,-6.768642419820794e-11
LPJ-GUESS,S3,1743,3.2617207710166267e-10
LPJ-GUESS,S3,1744,1.1861378093622197e-10
LPJ-GUESS,S3,1745,-2.2745510117271184e-11
LPJ-GUESS,S3,1746,1.2829808362545113e-11
LPJ-GUESS,S3,1747,1.9663145459756776e-10
LPJ-GUESS,S3,1748,-1.6531825747681397e-10
LPJ-GUESS,S3,1749,-6.383939140590355e-11
LPJ-GUESS,S3,1750,5.461336408669246e-11
LPJ-GUESS,S3,1751,-2.2347055827046663e-10
LPJ-GUESS,S3,1752,-2.918973946026078e-10
LPJ-GUESS,S3,1753,-1.4006960455138484e-10
LPJ-GUESS,S3,1754,-1.9038939948929012e-10
LPJ-GUESS,S3,1755,-7.96734766752619e-11
LPJ-GUESS,S3,1756,-9.852097235534306e-11
LPJ-GUESS,S3,1757,1.6666626750538383e-10
LPJ-GUESS,S3,1758,-3.0354321467205005e-10
LPJ-GUESS,S3,1759,-3.3321268050851784e-10
LPJ-GUESS,S3,1760,-2.2090948468941252e-10
LPJ-GUESS,S3,1761,5.4065646597979716e-11
LPJ-GUESS,S3,1762,-7.369386331497659e-11
LPJ-GUESS,S3,1763,3.17622124279779e-10
LPJ-GUESS,S3,1764,1.136346727286478e-10
LPJ-GUESS,S3,1765,2.582159527453641e-12
LPJ-GUESS,S3,1766,2.1617926983867323e-11
LPJ-GUESS,S3,1767,2.0334704843926569e-10
LPJ-GUESS,S3,1768,-1.542423239986833e-10
LPJ-GUESS,S3,1769,-4.4270730457238e-11
LPJ-GUESS,S3,1770,7.189672494644338e-11
LPJ-GUESS,S3,1771,-2.0698452279892635e-10
LPJ-GUESS,S3,1772,-2.7177897315706233e-10
LPJ-GUESS,S3,1773,-1.2047133018422114e-10
LPJ-GUESS,S3,1774,-1.7655646900970994e-10
LPJ-GUESS,S3,1775,-7.412273615068608e-11
LPJ-GUESS,S3,1776,-8.532575303334506e-11
LPJ-GUESS,S3,1777,1.774451077952265e-10
LPJ-GUESS,S3,1778,-2.722841059710084e-10
LPJ-GUESS,S3,1779,-3.1781758800007137e-10
LPJ-GUESS,S3,1780,-1.937062529549228e-10
LPJ-GUESS,S3,1781,7.625086600098719e-11
LPJ-GUESS,S3,1782,-5.141451701829124e-11
LPJ-GUESS,S3,1783,3.4287054224925076e-10
LPJ-GUESS,S3,1784,1.4875778150133513e-10
LPJ-GUESS,S3,1785,2.0068446549995646e-11
LPJ-GUESS,S3,1786,2.4851068565444035e-11
LPJ-GUESS,S3,1787,2.3869666422616043e-10
LPJ-GUESS,S3,1788,-1.166634011349508e-10
LPJ-GUESS,S3,1789,-6.298904345767837e-12
LPJ-GUESS,S3,1790,1.0919827865761183e-10
LPJ-GUESS,S3,1791,-1.753699867958845e-10
LPJ-GUESS,S3,1792,-2.179524007259519e-10
LPJ-GUESS,S3,1793,-9.397801812109911e-11
LPJ-GUESS,S3,1794,-1.5797253850499116e-10
LPJ-GUESS,S3,1795,-3.7490771034561335e-11
LPJ-GUESS,S3,1796,-6.68870074555989e-11
LPJ-GUESS,S3,1797,2.0373216042954379e-10
LPJ-GUESS,S3,1798,-2.378012316177099e-10
LPJ-GUESS,S3,1799,-2.782681381366942e-10
LPJ-GUESS,S3,1800,-1.655115933324078e-10
LPJ-GUESS,S3,1801,1.10640076415949e-10
LPJ-GUESS,S3,1802,-3.150622860307591e-11
LPJ-GUESS,S3,1803,3.6819094210004903e-10
LPJ-GUESS,S3,1804,1.7222049688682587e-10
LPJ-GUESS,S3,1805,2.0247315598450163e-11
LPJ-GUESS,S3,1806,3.165967311378196e-11
LPJ-GUESS,S3,1807,2.3874811410593083e-10
LPJ-GUESS,S3,1808,-1.3008651543815142e-10
LPJ-GUESS,S3,1809,-1.6325962622960442e-11
LPJ-GUESS,S3,1810,9.85956832075962e-11
LPJ-GUESS,S3,1811,-1.7464040033370935e-10
LPJ-GUESS,S3,1812,-2.4704212447313823e-10
LPJ-GUESS,S3,1813,-9.729195335213728e-11
LPJ-GUESS,S3,1814,-1.693306718662376e-10
LPJ-GUESS,S3,1815,-6.759008692033422e-11
LPJ-GUESS,S3,1816,-8.616431493488126e-11
LPJ-GUESS,S3,1817,1.6054682588796034e-10
LPJ-GUESS,S3,1818,-2.6451915723629917e-10
LPJ-GUESS,S3,1819,-3.1276481730070016e-10
LPJ-GUESS,S3,1820,-1.6740706636325243e-10
LPJ-GUESS,S3,1821,6.59429133677499e-11
LPJ-GUESS,S3,1822,-6.797309654794976e-11
LPJ-GUESS,S3,1823,3.2866707118479787e-10
LPJ-GUESS,S3,1824,1.3258589349979639e-10
LPJ-GUESS,S3,1825,-5.242726764933088e-12
LPJ-GUESS,S3,1826,4.14823468986007e-12
LPJ-GUESS,S3,1827,1.9991871392432847e-10
LPJ-GUESS,S3,1828,-1.572669748409405e-10
LPJ-GUESS,S3,1829,-5.2271992585684616e-11
LPJ-GUESS,S3,1830,4.605634155630341e-11
LPJ-GUESS,S3,1831,-2.2393207253865392e-10
LPJ-GUESS,S3,1832,-2.986707230088385e-10
LPJ-GUESS,S3,1833,-1.318791974247099e-10
LPJ-GUESS,S3,1834,-1.9210804887504346e-10
LPJ-GUESS,S3,1835,-8.525182343857311e-11
LPJ-GUESS,S3,1836,-1.0703809564636644e-10
LPJ-GUESS,S3,1837,1.5687933913339949e-10
LPJ-GUESS,S3,1838,-2.564928800069988e-10
LPJ-GUESS,S3,1839,-3.205303462443243e-10
LPJ-GUESS,S3,1840,-1.8840528599476033e-10
LPJ-GUESS,S3,1841,9.39535727315642e-11
LPJ-GUESS,S3,1842,-6.837808970567421e-11
LPJ-GUESS,S3,1843,3.2012417397866083e-10
LPJ-GUESS,S3,1844,1.4562771677000143e-10
LPJ-GUESS,S3,1845,-1.3081630847766239e-12
LPJ-GUESS,S3,1846,5.8816914250456094e-12
LPJ-GUESS,S3,1847,1.980019051878113e-10
LPJ-GUESS,S3,1848,-1.388834670526022e-10
LPJ-GUESS,S3,1849,-5.284083685357235e-11
LPJ-GUESS,S3,1850,3.483706636851149e-11
LPJ-GUESS,S3,1851,-2.3399020782901955e-10
LPJ-GUESS,S3,1852,-3.115975159976369e-10
LPJ-GUESS,S3,1853,-1.5498473493646663e-10
LPJ-GUESS,S3,1854,-2.291876701180379e-10
LPJ-GUESS,S3,1855,-1.4293257493946435e-10
LPJ-GUESS,S3,1856,-1.5520748457655848e-10
LPJ-GUESS,S3,1857,1.186552528728811e-10
LPJ-GUESS,S3,1858,-2.9805775852958756e-10
LPJ-GUESS,S3,1859,-3.8440773532420477e-10
LPJ-GUESS,S3,1860,-2.3869354796616204e-10
LPJ-GUESS,S3,1861,6.627854726545584e-11
LPJ-GUESS,S3,1862,-1.3370608565408155e-10
LPJ-GUESS,S3,1863,2.772666559477194e-10
LPJ-GUESS,S3,1864,9.37488944641292e-11
LPJ-GUESS,S3,1865,-3.1111972421349865e-11
LPJ-GUESS,S3,1866,-4.141364996972058e-11
LPJ-GUESS,S3,1867,1.8335682854314613e-10
LPJ-GUESS,S3,1868,-1.635399854943661e-10
LPJ-GUESS,S3,1869,-6.126157036493495e-11
LPJ-GUESS,S3,1870,2.409927395089613e-11
LPJ-GUESS,S3,1871,-2.5054599534075124e-10
LPJ-GUESS,S3,1872,-3.208316239880073e-10
LPJ-GUESS,S3,1873,-1.619110706294542e-10
LPJ-GUESS,S3,1874,-2.3157240285727694e-10
LPJ-GUESS,S3,1875,-1.6484212423789935e-10
LPJ-GUESS,S3,1876,-1.4520538299420088e-10
LPJ-GUESS,S3,1877,1.0968639278900651e-10
LPJ-GUESS,S3,1878,-3.1332587983669986e-10
LPJ-GUESS,S3,1879,-3.6840393556205495e-10
LPJ-GUESS,S3,1880,-2.2855609679926749e-10
LPJ-GUESS,S3,1881,6.175076472815264e-11
LPJ-GUESS,S3,1882,-1.1682896069013991e-10
LPJ-GUESS,S3,1883,2.5204208768295507e-10
LPJ-GUESS,S3,1884,9.581007670600158e-11
LPJ-GUESS,S3,1885,-4.2535521985177714e-11
LPJ-GUESS,S3,1886,-3.834325212960493e-11
LPJ-GUESS,S3,1887,1.6800245840943946e-10
LPJ-GUESS,S3,1888,-1.8476978213433903e-10
LPJ-GUESS,S3,1889,-7.170156740621841e-11
LPJ-GUESS,S3,1890,3.162767515748291e-11
LPJ-GUESS,S3,1891,-2.2011432404082523e-10
LPJ-GUESS,S3,1892,-3.2092733073966335e-10
LPJ-GUESS,S3,1893,-1.3833621984959538e-10
LPJ-GUESS,S3,1894,-2.0162716629311516e-10
LPJ-GUESS,S3,1895,-1.559667266005308e-10
