model,experiment,year,nbp_global_mean
LPJmL,S1,1700,-2.632534679869617e-10
LPJmL,S1,1701,-2.787158338971599e-10
LPJmL,S1,1702,1.1991962473875552e-10
LPJmL,S1,1703,3.7671583980308805e-10
LPJmL,S1,1704,-4.966415018420781e-11
LPJmL,S1,1705,1.0515089041789219e-10
LPJmL,S1,1706,-3.417596347871437e-10
LPJmL,S1,1707,5.299529673393562e-11
LPJmL,S1,1708,3.526431981540674e-11
LPJmL,S1,1709,-1.2016367140857465e-10
LPJmL,S1,1710,7.865815638165548e-11
LPJmL,S1,1711,-2.622732589885264e-10
LPJmL,S1,1712,4.51256861318672e-12
LPJmL,S1,1713,4.706304662475658e-10
LPJmL,S1,1714,-2.001660241430525e-10
LPJmL,S1,1715,-3.199996811028828e-12
LPJmL,S1,1716,1.9842300936034577e-10
LPJmL,S1,1717,-1.0267239466711012e-10
LPJmL,S1,1718,1.6072155683672647e-10
LPJmL,S1,1719,-3.2548744205606443e-10
LPJmL,S1,1720,2.9298491851941e-10
LPJmL,S1,1721,2.7230626234423854e-10
LPJmL,S1,1722,2.1711317541427712e-10
LPJmL,S1,1723,1.4469096912024425e-10
LPJmL,S1,1724,-6.993932651382059e-11
LPJmL,S1,1725,-3.4337276710108806e-10
LPJmL,S1,1726,-2.0694257901428252e-10
LPJmL,S1,1727,-1.1538955745162482e-10
LPJmL,S1,1728,2.339924429292402e-10
LPJmL,S1,1729,1.2410091872627692e-10
LPJmL,S1,1730,1.8335530926289503e-10
LPJmL,S1,1731,-2.954189772251079e-10
LPJmL,S1,1732,1.8973871525203247e-10
LPJmL,S1,1733,7.597080079332544e-11
LPJmL,S1,1734,1.384838182596557e-10
LPJmL,S1,1735,1.1287166957532581e-10
LPJmL,S1,1736,1.1544239970267039e-10
LPJmL,S1,1737,-1.0423080874854805e-10
LPJmL,S1,1738,-2.3042565920075315e-10
LPJmL,S1,1739,2.694341002371462e-10
LPJmL,S1,1740,-2.1527066796271214e-10
LPJmL,S1,1741,-2.998718724237028e-10
LPJmL,S1,1742,2.0330237918132246e-10
LPJmL,S1,1743,-1.6242916581138105e-10
LPJmL,S1,1744,-4.335804349593504e-11
LPJmL,S1,1745,-2.8180273603023203e-10
LPJmL,S1,1746,-2.2565366362822348e-10
LPJmL,S1,1747,2.3025887925051617e-10
LPJmL,S1,1748,-5.188069956740468e-11
LPJmL,S1,1749,3.016431195659181e-10
LPJmL,S1,1750,1.9356201140031636e-10
LPJmL,S1,1751,7.929991597020977e-11
LPJmL,S1,1752,6.797501763918748e-11
LPJmL,S1,1753,-1.939189072780009e-10
LPJmL,S1,1754,-3.630694122727471e-10
LPJmL,S1,1755,-1.4225074350623737e-10
LPJmL,S1,1756,3.6587303624335733e-10
LPJmL,S1,1757,-2.242553703575719e-10
LPJmL,S1,1758,3.031151988161114e-10
LPJmL,S1,1759,-1.00227594115714e-10
LPJmL,S1,1760,-3.553258679814526e-10
LPJmL,S1,1761,-1.6882413975304402e-10
LPJmL,S1,1762,1.453887555465512e-10
LPJmL,S1,1763,-1.8587887654768702e-10
LPJmL,S1,1764,-2.402002062319757e-10
LPJmL,S1,1765,-4.069127387417931e-11
LPJmL,S1,1766,4.882024598086098e-10
LPJmL,S1,1767,-1.6524547287587815e-10
LPJmL,S1,1768,-5.0567853800535924e-11
LPJmL,S1,1769,1.447824116707516e-10
LPJmL,S1,1770,-2.7747968175157493e-10
LPJmL,S1,1771,-1.3348270639947717e-10
LPJmL,S1,1772,4.7654364788835056e-11
LPJmL,S1,1773,-1.5664851419947402e-10
LPJmL,S1,1774,3.807489365605261e-10
LPJmL,S1,1775,-1.5041182979251646e-10
LPJmL,S1,1776,9.583513818563982e-11
LPJmL,S1,1777,-1.5821282868183086e-10
LPJmL,S1,1778,1.5906134552135e-10
LPJmL,S1,1779,2.532960990304294e-10
LPJmL,S1,1780,1.5789491686552933e-10
LPJmL,S1,1781,2.7702886260205876e-10
LPJmL,S1,1782,1.3372649132573955e-10
LPJmL,S1,1783,1.9533045373549192e-10
LPJmL,S1,1784,-5.246444358711185e-11
LPJmL,S1,1785,-3.5215434254734997e-10
LPJmL,S1,1786,3.3608672939814286e-10
LPJmL,S1,1787,-2.4414905531548323e-10
LPJmL,S1,1788,-3.257396367592602e-11
LPJmL,S1,1789,-1.5947899356344636e-10
LPJmL,S1,1790,1.2212264463915185e-10
LPJmL,S1,1791,1.2525844187552874e-10
LPJmL,S1,1792,-4.291068323261863e-11
LPJmL,S1,1793,-2.6329782454133547e-11
LPJmL,S1,1794,-1.3371377114967224e-10
LPJmL,S1,1795,7.498741279583204e-11
LPJmL,S1,1796,3.326965860050247e-10
LPJmL,S1,1797,-9.870094974383705e-11
LPJmL,S1,1798,3.6541499546468526e-10
LPJmL,S1,1799,-1.0129427256349424e-10
LPJmL,S1,1800,-1.8419685496125695e-10
LPJmL,S1,1801,2.106359296492429e-10
LPJmL,S1,1802,-7.275923073371827e-11
LPJmL,S1,1803,-6.618926144213682e-12
LPJmL,S1,1804,-5.54906984314849e-11
LPJmL,S1,1805,-5.538736454892256e-11
LPJmL,S1,1806,1.4989538308604126e-10
LPJmL,S1,1807,1.7284019038239587e-10
LPJmL,S1,1808,-7.438143449081499e-11
LPJmL,S1,1809,1.4939255126920432e-10
LPJmL,S1,1810,1.86475682762717e-10
LPJmL,S1,1811,8.815648692649451e-11
LPJmL,S1,1812,2.690036852138511e-10
LPJmL,S1,1813,3.155832388590644e-10
LPJmL,S1,1814,1.2975750781506191e-10
LPJmL,S1,1815,2.451567285161527e-10
LPJmL,S1,1816,-1.5462492559216314e-10
LPJmL,S1,1817,2.051542845132521e-12
LPJmL,S1,1818,-2.484887015143226e-10
LPJmL,S1,1819,8.613525171664618e-11
LPJmL,S1,1820,-2.421052320953126e-10
LPJmL,S1,1821,3.5921635365497534e-10
LPJmL,S1,1822,-1.5482512378630983e-10
LPJmL,S1,1823,2.178234840340074e-11
LPJmL,S1,1824,-1.9459498402733305e-10
LPJmL,S1,1825,3.802206872152876e-10
LPJmL,S1,1826,4.015957992103312e-11
