model,experiment,year,nbp_global_mean
LPX-Bern,S2,1700,3.6711616e-11
LPX-Bern,S2,1701,-1.2191687e-10
LPX-Bern,S2,1702,-3.0965172e-10
LPX-Bern,S2,1703,-3.5277707e-12
LPX-Bern,S2,1704,1.739122e-10
LPX-Bern,S2,1705,-5.6458487e-11
LPX-Bern,S2,1706,1.3547154e-10
LPX-Bern,S2,1707,1.322693e-10
LPX-Bern,S2,1708,1.3188112e-10
LPX-Bern,S2,1709,1.14897925e-10
LPX-Bern,S2,1710,1.6554036e-10
LPX-Bern,S2,1711,-2.3279075e-10
LPX-Bern,S2,1712,-1.3926293e-10
LPX-Bern,S2,1713,-6.749856e-11
LPX-Bern,S2,1714,-3.4908482e-11
LPX-Bern,S2,1715,-3.0926522e-11
LPX-Bern,S2,1716,1.9324098e-11
LPX-Bern,S2,1717,1.0943111e-10
LPX-Bern,S2,1718,-8.157693e-11
LPX-Bern,S2,1719,-1.4428737e-10
LPX-Bern,S2,1720,4.5468945e-11
LPX-Bern,S2,1721,-1.1873634e-10
LPX-Bern,S2,1722,-3.0175232e-10
LPX-Bern,S2,1723,1.5440796e-12
LPX-Bern,S2,1724,1.7660966e-10
LPX-Bern,S2,1725,-4.491631e-11
LPX-Bern,S2,1726,1.3868955e-10
LPX-Bern,S2,1727,1.4016205e-10
LPX-Bern,S2,1728,1.3882005e-10
LPX-Bern,S2,1729,1.2314023e-10
LPX-Bern,S2,1730,1.8490932e-10
LPX-Bern,S2,1731,-2.2675471e-10
LPX-Bern,S2,1732,-1.2868846e-10
LPX-Bern,S2,1733,-5.7839455e-11
LPX-Bern,S2,1734,-2.9580022e-11
LPX-Bern,S2,1735,-2.304836e-11
LPX-Bern,S2,1736,1.21898784e-11
LPX-Bern,S2,1737,1.12411414e-10
LPX-Bern,S2,1738,-7.719205e-11
LPX-Bern,S2,1739,-1.4982603e-10
LPX-Bern,S2,1740,4.4198627e-11
LPX-Bern,S2,1741,-1.2229691e-10
LPX-Bern,S2,1742,-3.054613e-10
LPX-Bern,S2,1743,-2.7507812e-12
LPX-Bern,S2,1744,1.6603045e-10
LPX-Bern,S2,1745,-5.6704513e-11
LPX-Bern,S2,1746,1.412559e-10
LPX-Bern,S2,1747,1.3211926e-10
LPX-Bern,S2,1748,1.2767858e-10
LPX-Bern,S2,1749,1.06403386e-10
LPX-Bern,S2,1750,1.6252877e-10
LPX-Bern,S2,1751,-2.4314598e-10
LPX-Bern,S2,1752,-1.389039e-10
LPX-Bern,S2,1753,-8.325198e-11
LPX-Bern,S2,1754,-4.2955656e-11
LPX-Bern,S2,1755,-3.3391307e-11
LPX-Bern,S2,1756,1.1331529e-11
LPX-Bern,S2,1757,1.0505106e-10
LPX-Bern,S2,1758,-8.173323e-11
LPX-Bern,S2,1759,-1.5727608e-10
LPX-Bern,S2,1760,3.8521037e-11
LPX-Bern,S2,1761,-1.3193711e-10
LPX-Bern,S2,1762,-3.0803537e-10
LPX-Bern,S2,1763,-4.8315982e-12
LPX-Bern,S2,1764,1.7178721e-10
LPX-Bern,S2,1765,-4.8466082e-11
LPX-Bern,S2,1766,1.3834994e-10
LPX-Bern,S2,1767,1.3756024e-10
LPX-Bern,S2,1768,1.389686e-10
LPX-Bern,S2,1769,1.2025875e-10
LPX-Bern,S2,1770,1.7328876e-10
LPX-Bern,S2,1771,-2.2283946e-10
LPX-Bern,S2,1772,-1.302801e-10
LPX-Bern,S2,1773,-5.60559e-11
LPX-Bern,S2,1774,-2.2906843e-11
LPX-Bern,S2,1775,-1.6224244e-11
LPX-Bern,S2,1776,2.8041328e-11
LPX-Bern,S2,1777,1.190259e-10
LPX-Bern,S2,1778,-6.643199e-11
LPX-Bern,S2,1779,-1.3313296e-10
LPX-Bern,S2,1780,6.9876493e-11
LPX-Bern,S2,1781,-1.0353651e-10
LPX-Bern,S2,1782,-2.7802913e-10
LPX-Bern,S2,1783,1.7250978e-11
LPX-Bern,S2,1784,2.0090879e-10
LPX-Bern,S2,1785,-2.5489813e-11
LPX-Bern,S2,1786,1.6898345e-10
LPX-Bern,S2,1787,1.6768104e-10
LPX-Bern,S2,1788,1.6624967e-10
LPX-Bern,S2,1789,1.5276512e-10
LPX-Bern,S2,1790,2.0455578e-10
LPX-Bern,S2,1791,-1.9575867e-10
LPX-Bern,S2,1792,-9.242455e-11
LPX-Bern,S2,1793,-2.8594368e-11
LPX-Bern,S2,1794,1.298454e-11
LPX-Bern,S2,1795,2.187626e-11
LPX-Bern,S2,1796,5.774729e-11
LPX-Bern,S2,1797,1.514236e-10
LPX-Bern,S2,1798,-3.0386377e-11
LPX-Bern,S2,1799,-1.00414344e-10
LPX-Bern,S2,1800,9.551637e-11
LPX-Bern,S2,1801,-6.8635965e-11
LPX-Bern,S2,1802,-2.5691932e-10
LPX-Bern,S2,1803,5.0670673e-11
LPX-Bern,S2,1804,2.2697977e-10
LPX-Bern,S2,1805,1.4600728e-12
LPX-Bern,S2,1806,1.977883e-10
LPX-Bern,S2,1807,1.8787567e-10
LPX-Bern,S2,1808,1.7477647e-10
LPX-Bern,S2,1809,1.5593765e-10
LPX-Bern,S2,1810,2.1153247e-10
LPX-Bern,S2,1811,-1.925433e-10
LPX-Bern,S2,1812,-8.474813e-11
LPX-Bern,S2,1813,-2.3075339e-11
LPX-Bern,S2,1814,8.881136e-12
LPX-Bern,S2,1815,1.6845173e-11
LPX-Bern,S2,1816,5.7911547e-11
LPX-Bern,S2,1817,1.4519268e-10
LPX-Bern,S2,1818,-4.492214e-11
LPX-Bern,S2,1819,-1.1200413e-10
LPX-Bern,S2,1820,8.389178e-11
LPX-Bern,S2,1821,-9.372464e-11
LPX-Bern,S2,1822,-2.729765e-10
LPX-Bern,S2,1823,2.5864014e-11
LPX-Bern,S2,1824,2.0750472e-10
LPX-Bern,S2,1825,-2.3892943e-11
LPX-Bern,S2,1826,1.7109013e-10
LPX-Bern,S2,1827,1.7106198e-10
LPX-Bern,S2,1828,1.6475087e-10
LPX-Bern,S2,1829,1.5129654e-10
LPX-Bern,S2,1830,2.005988e-10
LPX-Bern,S2,1831,-2.0279e-10
LPX-Bern,S2,1832,-9.830627e-11
LPX-Bern,S2,1833,-3.2908214e-11
LPX-Bern,S2,1834,-3.5759173e-12
LPX-Bern,S2,1835,1.7263357e-11
LPX-Bern,S2,1836,4.901522e-11
LPX-Bern,S2,1837,1.410474e-10
LPX-Bern,S2,1838,-4.8190268e-11
LPX-Bern,S2,1839,-1.030786e-10
LPX-Bern,S2,1840,8.5291475e-11
LPX-Bern,S2,1841,-7.283746e-11
LPX-Bern,S2,1842,-2.6712005e-10
LPX-Bern,S2,1843,3.9445985e-11
LPX-Bern,S2,1844,2.2030998e-10
LPX-Bern,S2,1845,-4.2137773e-12
LPX-Bern,S2,1846,1.963421e-10
LPX-Bern,S2,1847,1.892484e-10
LPX-Bern,S2,1848,1.8418789e-10
LPX-Bern,S2,1849,1.654495e-10
LPX-Bern,S2,1850,2.2147506e-10
LPX-Bern,S2,1851,-1.8588024e-10
LPX-Bern,S2,1852,-8.65657e-11
LPX-Bern,S2,1853,-2.2522336e-11
LPX-Bern,S2,1854,7.360075e-12
LPX-Bern,S2,1855,1.8395563e-11
LPX-Bern,S2,1856,5.1395277e-11
LPX-Bern,S2,1857,1.5205537e-10
LPX-Bern,S2,1858,-4.8214266e-11
LPX-Bern,S2,1859,-1.1207363e-10
LPX-Bern,S2,1860,8.168647e-11
LPX-Bern,S2,1861,-8.580259e-11
LPX-Bern,S2,1862,-2.7222205e-10
LPX-Bern,S2,1863,3.2132557e-11
