model,experiment,year,nbp_global_mean
ORCHIDEE,S1,1700,-3.472962e-11
ORCHIDEE,S1,1701,-6.128608e-11
ORCHIDEE,S1,1702,-8.656325e-11
ORCHIDEE,S1,1703,1.1294928e-10
ORCHIDEE,S1,1704,1.1828334e-11
ORCHIDEE,S1,1705,-1.301871e-10
ORCHIDEE,S1,1706,9.802029e-11
ORCHIDEE,S1,1707,-1.1108642e-11
ORCHIDEE,S1,1708,-7.297505e-11
ORCHIDEE,S1,1709,7.34691e-11
ORCHIDEE,S1,1710,-2.1113097e-11
ORCHIDEE,S1,1711,-1.1461603e-10
ORCHIDEE,S1,1712,-4.6152582e-11
ORCHIDEE,S1,1713,2.469692e-11
ORCHIDEE,S1,1714,2.4344008e-11
ORCHIDEE,S1,1715,-5.2862593e-11
ORCHIDEE,S1,1716,5.6375984e-11
ORCHIDEE,S1,1717,1.6219899e-10
ORCHIDEE,S1,1718,-8.92687e-11
ORCHIDEE,S1,1719,-8.398762e-11
ORCHIDEE,S1,1720,9.700768e-12
ORCHIDEE,S1,1721,-1.7495097e-11
ORCHIDEE,S1,1722,-6.722278e-11
ORCHIDEE,S1,1723,1.2478284e-10
ORCHIDEE,S1,1724,2.5997066e-11
ORCHIDEE,S1,1725,-1.2298164e-10
ORCHIDEE,S1,1726,1.0379011e-10
ORCHIDEE,S1,1727,-4.365138e-12
ORCHIDEE,S1,1728,-6.083603e-11
ORCHIDEE,S1,1729,8.2858435e-11
ORCHIDEE,S1,1730,-1.1470709e-11
ORCHIDEE,S1,1731,-1.0783876e-10
ORCHIDEE,S1,1732,-3.969002e-11
ORCHIDEE,S1,1733,2.7207098e-11
ORCHIDEE,S1,1734,2.5782182e-11
ORCHIDEE,S1,1735,-4.9908872e-11
ORCHIDEE,S1,1736,5.893282e-11
ORCHIDEE,S1,1737,1.6029555e-10
ORCHIDEE,S1,1738,-8.971688e-11
ORCHIDEE,S1,1739,-8.787826e-11
ORCHIDEE,S1,1740,5.4349116e-12
ORCHIDEE,S1,1741,-2.2603855e-11
ORCHIDEE,S1,1742,-7.430389e-11
ORCHIDEE,S1,1743,1.163117e-10
ORCHIDEE,S1,1744,1.745909e-11
ORCHIDEE,S1,1745,-1.325135e-10
ORCHIDEE,S1,1746,9.4647366e-11
ORCHIDEE,S1,1747,-1.6518379e-11
ORCHIDEE,S1,1748,-7.518768e-11
ORCHIDEE,S1,1749,7.1588346e-11
ORCHIDEE,S1,1750,-2.4953197e-11
ORCHIDEE,S1,1751,-1.2102401e-10
ORCHIDEE,S1,1752,-5.307088e-11
