model,experiment,year,nbp_global_mean
VISIT-UT,S1,1700,5.701802e-11
VISIT-UT,S1,1701,-7.283435e-11
VISIT-UT,S1,1702,-3.6805048e-10
VISIT-UT,S1,1703,2.653285e-11
VISIT-UT,S1,1704,2.4950744e-10
VISIT-UT,S1,1705,-1.4640654e-10
VISIT-UT,S1,1706,2.1498796e-10
VISIT-UT,S1,1707,7.9984436e-11
VISIT-UT,S1,1708,2.925148e-11
VISIT-UT,S1,1709,8.6440154e-11
VISIT-UT,S1,1710,1.535206e-10
VISIT-UT,S1,1711,-5.5986715e-11
VISIT-UT,S1,1712,-1.73858e-10
VISIT-UT,S1,1713,9.165422e-11
VISIT-UT,S1,1714,-1.1525236e-10
VISIT-UT,S1,1715,-1.2570389e-10
VISIT-UT,S1,1716,-3.4139868e-11
VISIT-UT,S1,1717,3.9559764e-10
VISIT-UT,S1,1718,-6.457446e-11
VISIT-UT,S1,1719,-2.485241e-10
VISIT-UT,S1,1720,5.7862704e-11
VISIT-UT,S1,1721,-7.030327e-11
VISIT-UT,S1,1722,-3.7114367e-10
VISIT-UT,S1,1723,2.9569198e-11
VISIT-UT,S1,1724,2.5070768e-10
VISIT-UT,S1,1725,-1.4818509e-10
VISIT-UT,S1,1726,2.1701407e-10
VISIT-UT,S1,1727,8.07556e-11
VISIT-UT,S1,1728,2.7096122e-11
VISIT-UT,S1,1729,8.980954e-11
VISIT-UT,S1,1730,1.5343253e-10
VISIT-UT,S1,1731,-5.822992e-11
VISIT-UT,S1,1732,-1.7010232e-10
VISIT-UT,S1,1733,9.256116e-11
VISIT-UT,S1,1734,-1.16264054e-10
VISIT-UT,S1,1735,-1.2470135e-10
VISIT-UT,S1,1736,-3.3297125e-11
VISIT-UT,S1,1737,3.9574843e-10
VISIT-UT,S1,1738,-6.545773e-11
VISIT-UT,S1,1739,-2.4557192e-10
VISIT-UT,S1,1740,5.789592e-11
VISIT-UT,S1,1741,-7.0190714e-11
VISIT-UT,S1,1742,-3.6860426e-10
VISIT-UT,S1,1743,2.6645472e-11
VISIT-UT,S1,1744,2.5265579e-10
VISIT-UT,S1,1745,-1.4709378e-10
VISIT-UT,S1,1746,2.1539526e-10
VISIT-UT,S1,1747,8.341957e-11
VISIT-UT,S1,1748,2.8098848e-11
VISIT-UT,S1,1749,8.690474e-11
VISIT-UT,S1,1750,1.56256e-10
VISIT-UT,S1,1751,-5.68728e-11
VISIT-UT,S1,1752,-1.7288564e-10
VISIT-UT,S1,1753,9.460974e-11
VISIT-UT,S1,1754,-1.1631048e-10
VISIT-UT,S1,1755,-1.2558136e-10
VISIT-UT,S1,1756,-3.117054e-11
VISIT-UT,S1,1757,3.9494982e-10
VISIT-UT,S1,1758,-6.4284356e-11
VISIT-UT,S1,1759,-2.4588218e-10
VISIT-UT,S1,1760,5.7531525e-11
VISIT-UT,S1,1761,-7.0783074e-11
VISIT-UT,S1,1762,-3.6831818e-10
VISIT-UT,S1,1763,2.9261583e-11
VISIT-UT,S1,1764,2.5087235e-10
VISIT-UT,S1,1765,-1.4643031e-10
VISIT-UT,S1,1766,2.1796837e-10
VISIT-UT,S1,1767,8.3832545e-11
VISIT-UT,S1,1768,3.470758e-11
VISIT-UT,S1,1769,9.5793484e-11
VISIT-UT,S1,1770,1.6291808e-10
VISIT-UT,S1,1771,-4.4596382e-11
VISIT-UT,S1,1772,-1.5948476e-10
VISIT-UT,S1,1773,1.0742163e-10
VISIT-UT,S1,1774,-9.8119214e-11
VISIT-UT,S1,1775,-1.0609288e-10
VISIT-UT,S1,1776,-1.3970204e-11
VISIT-UT,S1,1777,4.206506e-10
VISIT-UT,S1,1778,-4.366781e-11
VISIT-UT,S1,1779,-2.2097381e-10
VISIT-UT,S1,1780,8.894466e-11
VISIT-UT,S1,1781,-4.1715475e-11
VISIT-UT,S1,1782,-3.4169104e-10
VISIT-UT,S1,1783,5.983882e-11
VISIT-UT,S1,1784,2.8427247e-10
VISIT-UT,S1,1785,-1.15650184e-10
VISIT-UT,S1,1786,2.5266536e-10
VISIT-UT,S1,1787,1.1889197e-10
VISIT-UT,S1,1788,6.724665e-11
VISIT-UT,S1,1789,1.2829135e-10
VISIT-UT,S1,1790,1.9555525e-10
VISIT-UT,S1,1791,-1.4780602e-11
VISIT-UT,S1,1792,-1.2974927e-10
VISIT-UT,S1,1793,1.3571307e-10
VISIT-UT,S1,1794,-7.064913e-11
VISIT-UT,S1,1795,-7.883368e-11
VISIT-UT,S1,1796,1.3314831e-11
VISIT-UT,S1,1797,4.4307416e-10
VISIT-UT,S1,1798,-1.809436e-11
VISIT-UT,S1,1799,-1.9862383e-10
VISIT-UT,S1,1800,1.0808807e-10
VISIT-UT,S1,1801,-2.1165958e-11
VISIT-UT,S1,1802,-3.22655e-10
VISIT-UT,S1,1803,7.5547124e-11
VISIT-UT,S1,1804,3.0555472e-10
VISIT-UT,S1,1805,-1.0096879e-10
VISIT-UT,S1,1806,2.6732186e-10
VISIT-UT,S1,1807,1.3486583e-10
VISIT-UT,S1,1808,7.9322576e-11
VISIT-UT,S1,1809,1.3752426e-10
VISIT-UT,S1,1810,2.0733366e-10
VISIT-UT,S1,1811,-6.860975e-12
VISIT-UT,S1,1812,-1.2649716e-10
VISIT-UT,S1,1813,1.4273499e-10
VISIT-UT,S1,1814,-6.686749e-11
VISIT-UT,S1,1815,-7.956341e-11
VISIT-UT,S1,1816,1.648152e-11
VISIT-UT,S1,1817,4.4543444e-10
VISIT-UT,S1,1818,-2.2029276e-11
VISIT-UT,S1,1819,-1.983428e-10
VISIT-UT,S1,1820,1.06618055e-10
VISIT-UT,S1,1821,-2.7925598e-11
VISIT-UT,S1,1822,-3.2592395e-10
VISIT-UT,S1,1823,7.111278e-11
VISIT-UT,S1,1824,2.981785e-10
VISIT-UT,S1,1825,-1.0661588e-10
VISIT-UT,S1,1826,2.6078342e-10
VISIT-UT,S1,1827,1.250767e-10
VISIT-UT,S1,1828,7.315953e-11
VISIT-UT,S1,1829,1.29312e-10
VISIT-UT,S1,1830,1.9589434e-10
VISIT-UT,S1,1831,-1.4702961e-11
VISIT-UT,S1,1832,-1.3862807e-10
VISIT-UT,S1,1833,1.25835e-10
VISIT-UT,S1,1834,-8.13025e-11
VISIT-UT,S1,1835,-9.765844e-11
VISIT-UT,S1,1836,-7.681735e-12
VISIT-UT,S1,1837,4.22647e-10
VISIT-UT,S1,1838,-4.6101362e-11
VISIT-UT,S1,1839,-2.2659463e-10
VISIT-UT,S1,1840,8.415826e-11
VISIT-UT,S1,1841,-5.01032e-11
VISIT-UT,S1,1842,-3.491333e-10
VISIT-UT,S1,1843,5.3921017e-11
VISIT-UT,S1,1844,2.8178504e-10
